"Writer Name","Novel Name","Genre","Final Word Count","Average Per Day","Winner","index","url"
"AllYellowFlowers","Novel: Untitled (Vigilantes rewrite)","Genre: Literary","11000","366","","27","http://nanowrimo.org/participants/allyellowflowers/novels/untitled-vigilantes-rewrite/stats"
"AllYellowFlowers","Novel: Vigilantes","Genre: Literary","10542","351","","28","http://nanowrimo.org/participants/allyellowflowers/novels/vigilantes-586401/stats"
"AllYellowFlowers","Novel: Untitled (Honeysuckle Road/ Ghost Story/ That's a Wrap/ S...","Genre: Literary Fiction","19886","662","","29","http://nanowrimo.org/participants/allyellowflowers/novels/untitled-honeysuckle-road-ghost-story-that-s-a-wrap-so-drunk-in-the-august-sun-you-re-the-kind-of-girl-i-like/stats"
"animalrza","Novel: The Sunday Customer","Genre: Mainstream","25455","848","","30","http://nanowrimo.org/participants/animalrza/novels/the-sunday-customer-981112/stats"
"animalrza","Novel: The Sunday Customer","Genre: Mainstream","23528","784","","31","http://nanowrimo.org/participants/animalrza/novels/the-sunday-customer-601407/stats"
"animalrza","Novel: The Sunday Customer","Genre: Mainstream Fiction","23391","779","","32","http://nanowrimo.org/participants/animalrza/novels/the-sunday-customer-415499/stats"
"animalrza","Novel: The Sunday Customer","Genre: Mainstream Fiction","15757","525","","33","http://nanowrimo.org/participants/animalrza/novels/the-sunday-customer/stats"
"Cafenuit","Novel: Familyhood","Genre: Mainstream","50145","1,671","Winner!","34","http://nanowrimo.org/participants/cafenuit/novels/familyhood/stats"
"Carmelon","Novel: La Bruja Verde ( The Green Witch)","Genre: fantasy, spiritual, personal,","18999","633","","35","http://nanowrimo.org/participants/carmelon/novels/la-bruja-verde-the-green-witch/stats"
"carozy","Novel: The Romance Train","Genre: Romance","4451","148","","36","http://nanowrimo.org/participants/carozy/novels/the-romance-train/stats"
"carozy","Novel: Tiny Viola","Genre: Adventure","34530","1,151","","37","http://nanowrimo.org/participants/carozy/novels/tiny-viola/stats"
"chrisk0","Novel: Right of the Ice Princess","Genre: Science Fiction","64001","2,133","Winner!","38","http://nanowrimo.org/participants/chrisk0/novels/right-of-the-ice-princess/stats"
"chrisk0","Novel: Never Found","Genre: Fantasy","60025","2,000","Winner!","39","http://nanowrimo.org/participants/chrisk0/novels/never-found/stats"
"chrisk0","Novel: Trilogy of Rebellion","Genre: Science Fiction","60025","2,000","Winner!","40","http://nanowrimo.org/participants/chrisk0/novels/trilogy-of-rebellion/stats"
"chrisk0","Novel: Snow Job","Genre: Science Fiction","64270","2,142","Winner!","41","http://nanowrimo.org/participants/chrisk0/novels/snow-job/stats"
"chrisk0","Novel: Star Patrol","Genre: Science Fiction","65011","2,167","Winner!","42","http://nanowrimo.org/participants/chrisk0/novels/star-patrol/stats"
"ComeOnAndWriteThisNovel","Novel: autobiography/letter","Genre: Personal","0","0","","43","http://nanowrimo.org/participants/comeonandwritethisnovel/novels/autobiography-letter/stats"
"ComeOnAndWriteThisNovel","Novel: the book (finished: just took longer than NaNo time.)","Genre: Young Adult","11055","368","","44","http://nanowrimo.org/participants/comeonandwritethisnovel/novels/the-book-finished-just-took-longer-than-nano-time/stats"
"cretsi","Novel: I Left My Heart in San Clandestin","Genre: Paranormal Satire","52574","1,752","Winner!","45","http://nanowrimo.org/participants/cretsi/novels/i-left-my-heart-in-san-clandestin/stats"
"cretsi","Novel: Death Puppies","Genre: Science Fiction","51458","1,715","Winner!","46","http://nanowrimo.org/participants/cretsi/novels/death-puppies/stats"
"cretsi","Novel: Dr. Quentin's Support Group for the Re-Living","Genre: Science Fiction","50481","1,682","Winner!","47","http://nanowrimo.org/participants/cretsi/novels/dr-quentin-s-support-group-for-the-re-living/stats"
"cretsi","Novel: MomQuest - A Deranged Journey","Genre: Science Fiction","53114","1,770","Winner!","48","http://nanowrimo.org/participants/cretsi/novels/momquest-a-deranged-journey/stats"
"cretsi","Novel: Seeds of Destruction","Genre: Science Fiction","53024","1,767","Winner!","49","http://nanowrimo.org/participants/cretsi/novels/seeds-of-destruction/stats"
"cretsi","Novel: A Seed Filled with Tomorrow","Genre: Science Fiction","50342","1,678","Winner!","50","http://nanowrimo.org/participants/cretsi/novels/a-seed-filled-with-tomorrow/stats"
"dazart","Novel: From the Bay to the Bayou","Genre: Personal","3483","116","","51","http://nanowrimo.org/participants/dazart/novels/from-the-bay-to-the-bayou-911093/stats"
"dgiuliani","Novel: Husbryce","Genre: Mainstream","50085","1,669","Winner!","52","http://nanowrimo.org/participants/dgiuliani/novels/husbryce/stats"
"dgiuliani","Novel: Betta Fish","Genre: Mystery, Thriller & Suspense","50033","1,667","Winner!","53","http://nanowrimo.org/participants/dgiuliani/novels/betta-fish/stats"
"dgiuliani","Novel: Rolling for Coal","Genre: Literary Fiction","74278","2,475","Winner!","54","http://nanowrimo.org/participants/dgiuliani/novels/rolling-for-coal/stats"
"FaerieRogue","Novel: Los Doce Libritos","Genre: Fantasy","52990","1,766","Winner!","55","http://nanowrimo.org/participants/faerierogue/novels/los-doce-libritos/stats"
"fallingleaf","Novel: Rain","Genre: Mystery","13684","456","","56","http://nanowrimo.org/participants/fallingleaf/novels/rain-834753/stats"
"fallingleaf","Novel: Kalediscope","Genre: Literary","52441","1,748","Winner!","57","http://nanowrimo.org/participants/fallingleaf/novels/kalediscope/stats"
"fallingleaf","Novel: Carnival of Lost Souls","Genre: Fantasy","52334","1,744","Winner!","58","http://nanowrimo.org/participants/fallingleaf/novels/carnival-of-lost-souls-376748/stats"
"fallingleaf","Novel: The Walking Man","Genre:","5383","179","","59","http://nanowrimo.org/participants/fallingleaf/novels/the-walking-man-179018/stats"
"fallingleaf","Novel: Gothic","Genre: Mystery, Thriller & Suspense","50145","1,671","Winner!","60","http://nanowrimo.org/participants/fallingleaf/novels/gothic/stats"
"fallingleaf","Novel: Poirot's Ghost","Genre: Thriller/Suspense","57187","1,906","Winner!","61","http://nanowrimo.org/participants/fallingleaf/novels/poirot-s-ghost/stats"
"fallingleaf","Novel: The Nice Lady's Apprentice's","Genre: Fantasy","55444","1,848","Winner!","62","http://nanowrimo.org/participants/fallingleaf/novels/the-nice-lady-s-apprentice-s/stats"
"fallingleaf","Novel: The Trials of Gwendolyn Bach","Genre: Fantasy","50152","1,671","Winner!","63","http://nanowrimo.org/participants/fallingleaf/novels/the-trials-of-gwendolyn-bach/stats"
"FeliciaFredlund","Novel: Multi-Project Nano","Genre: Multi-genre!","1402","46","","64","http://nanowrimo.org/participants/feliciafredlund/novels/multi-project-nano/stats"
"FeliciaFredlund","Novel: The Sins of a Mage and Changing Bounds","Genre: Fantasy","11065","368","","65","http://nanowrimo.org/participants/feliciafredlund/novels/the-sins-of-a-mage-and-changing-bounds/stats"
"FeliciaFredlund","Novel: 30 Flashes of Life","Genre: Multiple","3333","111","","66","http://nanowrimo.org/participants/feliciafredlund/novels/30-flashes-of-life/stats"
"FeliciaFredlund","Novel: The Draining","Genre: Fantasy","50107","1,670","Winner!","67","http://nanowrimo.org/participants/feliciafredlund/novels/the-draining/stats"
"FeliciaFredlund","Novel: The Flying Carrier","Genre: Young Adult & Youth","50147","1,671","Winner!","68","http://nanowrimo.org/participants/feliciafredlund/novels/the-flying-carrier/stats"
"grenouille","Novel: The Remarried","Genre: Literary","50192","1,673","Winner!","69","http://nanowrimo.org/participants/grenouille/novels/the-remarried/stats"
"grenouille","Novel: Peppermint Skies","Genre: Science Fiction","50675","1,689","Winner!","70","http://nanowrimo.org/participants/grenouille/novels/peppermint-skies-580477/stats"
"grenouille","Novel: The Testimony","Genre: Literary Fiction","52879","1,762","Winner!","71","http://nanowrimo.org/participants/grenouille/novels/the-testimony/stats"
"grenouille","Novel: The Scarlet Order","Genre: Fantasy","55047","1,834","Winner!","72","http://nanowrimo.org/participants/grenouille/novels/the-scarlet-order/stats"
"grenouille","Novel: Paper Roses","Genre: Literary Fiction","52677","1,755","Winner!","73","http://nanowrimo.org/participants/grenouille/novels/paper-roses/stats"
"grenouille","Novel: Sonata no. 4","Genre: Mainstream","65892","2,196","Winner!","74","http://nanowrimo.org/participants/grenouille/novels/sonata-no-4/stats"
"grenouille","Novel: Baletka","Genre: Mainstream","102245","3,408","Winner!","75","http://nanowrimo.org/participants/grenouille/novels/baletka/stats"
"hbt003","Novel: Pip : After Pequod [working title]","Genre: Literary","11604","386","","76","http://nanowrimo.org/participants/hbt003/novels/pip-after-pequod-working-title/stats"
"hbt003","Novel: Glass Houses","Genre: Thriller/Suspense","59237","1,974","","77","http://nanowrimo.org/participants/hbt003/novels/glass-houses/stats"
"hbt003","Novel: If the Shoe Fits","Genre: Short Story Collection","29328","977","","78","http://nanowrimo.org/participants/hbt003/novels/if-the-shoe-fits-452002/stats"
"hbt003","Novel: ZOMBIE NOVEL [working title]","Genre: Horror/Supernatural","24030","801","","79","http://nanowrimo.org/participants/hbt003/novels/zombie-novel-working-title/stats"
"hbt003","Novel: The Plot","Genre: Literary Fiction","47453","1,581","","80","http://nanowrimo.org/participants/hbt003/novels/the-plot1/stats"
"hbt003","Novel: Dear Diary","Genre: Satire/Humor","12033","401","","81","http://nanowrimo.org/participants/hbt003/novels/dear-diary-860043/stats"
"hbt003","Novel: [wedding essays]","Genre: Personal","8561","285","","82","http://nanowrimo.org/participants/hbt003/novels/wedding-essays/stats"
"hbt003","Novel: [can't remember]","Genre:","0","0","","83","http://nanowrimo.org/participants/hbt003/novels/can-t-remember-860056/stats"
"hbt003","Novel: [can't remember]","Genre:","0","0","","84","http://nanowrimo.org/participants/hbt003/novels/can-t-remember-860057/stats"
"hbt003","Novel: [can't remember]","Genre:","0","0","","85","http://nanowrimo.org/participants/hbt003/novels/can-t-remember-860059/stats"
"hbt003","Novel: [can't remember]","Genre:","0","0","","86","http://nanowrimo.org/participants/hbt003/novels/can-t-remember-860058/stats"
"hbt003","Novel: [can't remember]","Genre:","0","0","","87","http://nanowrimo.org/participants/hbt003/novels/can-t-remember-860062/stats"
"imtrisprior","Novel: Heart of Gold","Genre: Young Adult","4694","156","","88","http://nanowrimo.org/participants/imtrisprior/novels/heart-of-gold-821236/stats"
"imtrisprior","Novel: Santa and Macchiato","Genre: Religious/Spiritual","50000","1,666","","89","http://nanowrimo.org/participants/imtrisprior/novels/santa-and-macchiato-884877/stats"
"Jamesalicious","Novel: Untitled","Genre: Young Adult","5534","184","","90","http://nanowrimo.org/participants/jamesalicious/novels/novel-856458/stats"
"Jamesalicious","Novel: Eleanor & Hanklet (A Fresh Start on an Unfinished Idea)","Genre: Young Adult","50030","1,667","Winner!","91","http://nanowrimo.org/participants/jamesalicious/novels/eleanor-hanklet-a-fresh-start-on-an-unfinished-idea/stats"
"Jamesalicious","Novel: Before I Can Remember","Genre: Mainstream","50004","1,666","Winner!","92","http://nanowrimo.org/participants/jamesalicious/novels/before-i-can-remember/stats"
"Jamesalicious","Novel: Eleanor & Hanklet","Genre: Young Adult & Youth","17348","578","","93","http://nanowrimo.org/participants/jamesalicious/novels/eleanor-hanklet-60996/stats"
"Jamesalicious","Novel: The Summer of the Cicadas","Genre: Mainstream","10000","333","","94","http://nanowrimo.org/participants/jamesalicious/novels/the-summer-of-the-cicadas/stats"
"Jen Gambale","Novel: This was supposed to be a new book but it became revision...","Genre: Science Fiction","51001","1,700","Winner!","95","http://nanowrimo.org/participants/jen-gambale/novels/this-was-supposed-to-be-a-new-book-but-it-became-revisions-for-my-first-nanowrimo-novel-instead/stats"
"Jen Gambale","Novel: Wailer","Genre: Young Adult","20783","692","","96","http://nanowrimo.org/participants/jen-gambale/novels/wailer/stats"
"Jen Gambale","Novel: Break Down After World","Genre: Science Fiction","50177","1,672","Winner!","97","http://nanowrimo.org/participants/jen-gambale/novels/break-down-after-world/stats"
"Jen Gambale","Novel: An Undead Melody","Genre: Young Adult & Youth","62233","2,074","Winner!","98","http://nanowrimo.org/participants/jen-gambale/novels/an-undead-melody/stats"
"K. R. Smith","Novel: The Retro Video Girl","Genre: Romance","296","9","","99","http://nanowrimo.org/participants/k-r-smith/novels/the-retro-video-girl/stats"
"K. R. Smith","Novel: The Crush of the Month","Genre: Mainstream","35895","1,196","","100","http://nanowrimo.org/participants/k-r-smith/novels/the-crush-of-the-month/stats"
"K. R. Smith","Novel: Fanboy","Genre: Horror & Supernatural","57490","1,916","Winner!","101","http://nanowrimo.org/participants/k-r-smith/novels/fanboy/stats"
"K. R. Smith","Novel: Delicacy","Genre: Mainstream Fiction","0","0","","102","http://nanowrimo.org/participants/k-r-smith/novels/delicacy/stats"
"Kelvarus","Novel: Iteration","Genre: Science Fiction","31583","1,052","","103","http://nanowrimo.org/participants/kelvarus/novels/iteration/stats"
"Kelvarus","Novel: Elbie Chronicles","Genre: Science Fiction","2609","86","","104","http://nanowrimo.org/participants/kelvarus/novels/elbie-chronicles/stats"
"Kelvarus","Novel: Convergence","Genre: Science Fiction","50035","1,667","Winner!","105","http://nanowrimo.org/participants/kelvarus/novels/convergence-176855/stats"
"Kelvarus","Novel: Multiverse","Genre: All of the above","15996","533","","106","http://nanowrimo.org/participants/kelvarus/novels/multiverse/stats"
"Kelvarus","Novel: Scenes from An Invasion","Genre: Science Fiction","53334","1,777","Winner!","107","http://nanowrimo.org/participants/kelvarus/novels/scenes-from-an-invasion/stats"
"Kelvarus","Novel: Anytown, USA","Genre: Adventure","51757","1,725","Winner!","108","http://nanowrimo.org/participants/kelvarus/novels/anytown-usa/stats"
"khmore","Novel: Private Collection","Genre: Mystery","35519","1,183","","109","http://nanowrimo.org/participants/khmore/novels/private-collection/stats"
"khmore","Novel: Fashionable Emperors","Genre: Mystery","50095","1,669","Winner!","110","http://nanowrimo.org/participants/khmore/novels/fashionable-emperors/stats"
"khmore","Novel: Bambi-Jesus and the White Snake Lady","Genre: Mystery, Thriller & Suspense","50165","1,672","Winner!","111","http://nanowrimo.org/participants/khmore/novels/bambi-jesus-and-the-white-snake-lady/stats"
"khmore","Novel: Death in E Minor","Genre: Mystery, Thriller & Suspense","50105","1,670","Winner!","112","http://nanowrimo.org/participants/khmore/novels/death-in-e-minor/stats"
"khmore","Novel: Deadly Adornments","Genre: Mystery, Thriller & Suspense","50148","1,671","Winner!","113","http://nanowrimo.org/participants/khmore/novels/deadly-adornments/stats"
"khmore","Novel: Tianming Murder","Genre: Mystery, Thriller & Suspense","50000","1,666","Winner!","114","http://nanowrimo.org/participants/khmore/novels/tianming-murder/stats"
"khmore","Novel: Death in the Theater of Shadows","Genre: Mystery, Thriller & Suspense","50000","1,666","Winner!","115","http://nanowrimo.org/participants/khmore/novels/death-in-the-theater-of-shadows/stats"
"kp17","Novel: What So Proudly We Hailed","Genre: Mainstream","23503","783","","116","http://nanowrimo.org/participants/kp17/novels/what-so-proudly-we-hailed-985363/stats"
"kristenrudd","Novel: The Claim","Genre: Fantasy","60000","2,000","Winner!","117","http://nanowrimo.org/participants/kristenrudd/novels/the-claim-838289/stats"
"kristenrudd","Novel: Croak","Genre: Young Adult","50101","1,670","Winner!","118","http://nanowrimo.org/participants/kristenrudd/novels/croak-610678/stats"
"kristenrudd","Novel: What I Want","Genre: Mainstream","50069","1,668","Winner!","119","http://nanowrimo.org/participants/kristenrudd/novels/what-i-want-402308/stats"
"kristenrudd","Novel: Homecoming","Genre: Mainstream Fiction","50225","1,674","Winner!","120","http://nanowrimo.org/participants/kristenrudd/novels/homecoming-221885/stats"
"kristenrudd","Novel: Fall From Grace","Genre: Young Adult & Youth","50126","1,670","Winner!","121","http://nanowrimo.org/participants/kristenrudd/novels/fall-from-grace2/stats"
"kristenrudd","Novel: Croak","Genre: Young Adult","24291","809","","122","http://nanowrimo.org/participants/kristenrudd/novels/croak-606487/stats"
"kristenrudd","Novel: 'Til Death Do Us Part","Genre: Mainstream","56609","1,886","Winner!","123","http://nanowrimo.org/participants/kristenrudd/novels/til-death-do-us-part-606507/stats"
"kristenrudd","Novel: Running Out","Genre: Young Adult","28872","962","","124","http://nanowrimo.org/participants/kristenrudd/novels/running-out-606520/stats"
"kristenrudd","Novel: Muse","Genre: Mainstream","1620","54","","125","http://nanowrimo.org/participants/kristenrudd/novels/muse-606529/stats"
"lavenderblue","Novel: Kamir","Genre: Literary","50264","1,675","Winner!","126","http://nanowrimo.org/participants/lavenderblue/novels/kamir-918836/stats"
"lavenderblue","Novel: Flight of Fancy","Genre: Literary","50036","1,667","Winner!","127","http://nanowrimo.org/participants/lavenderblue/novels/flight-of-fancy-636625/stats"
"lavenderblue","Novel: Besos","Genre: Literary Fiction","50554","1,685","Winner!","128","http://nanowrimo.org/participants/lavenderblue/novels/besos/stats"
"lavenderblue","Novel: Doll","Genre: Literary Fiction","50270","1,675","Winner!","129","http://nanowrimo.org/participants/lavenderblue/novels/doll-213416/stats"
"lavenderblue","Novel: Breaking In","Genre: Literary Fiction","50250","1,675","Winner!","130","http://nanowrimo.org/participants/lavenderblue/novels/breaking-in/stats"
"lavenderblue","Novel: Another Girl","Genre: Literary Fiction","50000","1,666","Winner!","131","http://nanowrimo.org/participants/lavenderblue/novels/another-girl/stats"
"lavenderblue","Novel: Don't Talk to Strangers","Genre: Literary Fiction","50000","1,666","Winner!","132","http://nanowrimo.org/participants/lavenderblue/novels/don-t-talk-to-strangers/stats"
"Liberate","Novel: Notes from Desolation Part 5","Genre:","4701","156","","133","http://nanowrimo.org/participants/liberate/novels/notes-from-desolation-part-5/stats"
"Liberate","Novel: Notes from Desolation pt 4","Genre:","40556","1,351","","134","http://nanowrimo.org/participants/liberate/novels/notes-from-desolation-pt-4/stats"
"Liberate","Novel: Notes from Desolation pt 3","Genre:","57097","1,903","Winner!","135","http://nanowrimo.org/participants/liberate/novels/notes-from-desolation-pt-3/stats"
"Liberate","Novel: Notes from Desolation","Genre:","51432","1,714","Winner!","136","http://nanowrimo.org/participants/liberate/novels/notes-from-desolation/stats"
"Liberate","Novel: A Walk in Darkness","Genre: Fantasy","0","0","","137","http://nanowrimo.org/participants/liberate/novels/a-walk-in-darkness/stats"
"liteindigold","Novel: Umbra","Genre: Fantasy","38056","1,268","","138","http://nanowrimo.org/participants/liteindigold/novels/umbra-955214/stats"
"Lunar Daddy","Novel: Water Damage","Genre: Literary","25700","856","","139","http://nanowrimo.org/participants/lunar-daddy/novels/water-damage-819428/stats"
"MamaHen40","Novel: The WayFinder","Genre: Science Fiction","66128","2,204","Winner!","140","http://nanowrimo.org/participants/mamahen40/novels/the-wayfinder/stats"
"MermaidMaddie","Novel: (Untitled)","Genre: Fantasy","50223","1,674","Winner!","141","http://nanowrimo.org/participants/mermaidmaddie/novels/untitled-833480/stats"
"MermaidMaddie","Novel: Assassin (temporary)","Genre: Fantasy","50237","1,674","Winner!","142","http://nanowrimo.org/participants/mermaidmaddie/novels/assassin-temporary/stats"
"MermaidMaddie","Novel: Unconventional","Genre: Romance","50068","1,668","Winner!","143","http://nanowrimo.org/participants/mermaidmaddie/novels/unconventional-380454/stats"
"motherless child","Novel: Conversations with Skunks","Genre: Adventure","54199","1,806","Winner!","144","http://nanowrimo.org/participants/motherless-child/novels/conversations-with-skunks-824809/stats"
"nelle81","Novel: Corridor Kids","Genre: Horror/Supernatural","502","16","","145","http://nanowrimo.org/participants/nelle81/novels/corridor-kids/stats"
"nemodos","Novel: Dimju","Genre: Thriller/Suspense","50271","1,675","Winner!","146","http://nanowrimo.org/participants/nemodos/novels/dimju/stats"
"nemodos","Novel: The MACH Division","Genre: Mystery","51621","1,720","Winner!","147","http://nanowrimo.org/participants/nemodos/novels/the-mach-division/stats"
"nemodos","Novel: A People, Lost","Genre: Fantasy","50059","1,668","Winner!","148","http://nanowrimo.org/participants/nemodos/novels/a-people-lost/stats"
"nemodos","Novel: Smoke in the Wind","Genre: Literary Fiction","3729","124","","149","http://nanowrimo.org/participants/nemodos/novels/smoke-in-the-wind/stats"
"nemodos","Novel: Early Mods","Genre: Science Fiction","51680","1,722","Winner!","150","http://nanowrimo.org/participants/nemodos/novels/early-mods/stats"
"nicole1967","Novel: His Secret","Genre: Young Adult","10202","340","","151","http://nanowrimo.org/participants/nicole1967/novels/his-secret/stats"
"Rebecca Stern","Novel: Northern Retreat","Genre: Literary","3000","100","","152","http://nanowrimo.org/participants/rebecca-stern/novels/northern-retreat/stats"
"Rebecca Stern","Novel: Fern River","Genre: Young Adult","50230","1,674","Winner!","153","http://nanowrimo.org/participants/rebecca-stern/novels/fern-river/stats"
"Rebecca Stern","Novel: We Tried","Genre:","0","0","","154","http://nanowrimo.org/participants/rebecca-stern/novels/we-tried/stats"
"rienkarrot","Novel: UNSC","Genre: Science Fiction","51634","1,721","Winner!","155","http://nanowrimo.org/participants/rienkarrot/novels/unsc/stats"
"rienkarrot","Novel: Indelar","Genre: Fantasy","52002","1,733","Winner!","156","http://nanowrimo.org/participants/rienkarrot/novels/indelar/stats"
"rienkarrot","Novel: DTAW","Genre: Fantasy","50327","1,677","Winner!","157","http://nanowrimo.org/participants/rienkarrot/novels/dtaw/stats"
"rienkarrot","Novel: Myriad","Genre: Psychological","57037","1,901","Winner!","158","http://nanowrimo.org/participants/rienkarrot/novels/myriad-277104/stats"
"s.writes56","Novel: Untitled","Genre: Historical","6653","221","","159","http://nanowrimo.org/participants/s-writes56/novels/untitled-932315/stats"
"s.writes56","Novel: Children of Light","Genre: Literary","27125","904","","160","http://nanowrimo.org/participants/s-writes56/novels/children-of-light-634728/stats"
"schappy","Novel: The Hideous Monk of Melrose","Genre: Fantasy","10750","358","","161","http://nanowrimo.org/participants/schappy/novels/the-hideous-monk-of-melrose/stats"
"Shaun Parker","Novel: DEX","Genre: Children's Fiction","9744","324","","162","http://nanowrimo.org/participants/shaun-parker/novels/dex-835639/stats"
"Shaun Parker","Novel: The DEX Agency","Genre: Mystery","7197","239","","163","http://nanowrimo.org/participants/shaun-parker/novels/the-dex-agency/stats"
"sninkychan","Novel: Cross Town","Genre: Young Adult","50125","1,670","Winner!","164","http://nanowrimo.org/participants/sninkychan/novels/cross-town/stats"
"sninkychan","Novel: Cold Case","Genre: Mystery","50136","1,671","Winner!","165","http://nanowrimo.org/participants/sninkychan/novels/cold-case-584664/stats"
"sninkychan","Novel: Bread and Water","Genre: Horror & Supernatural","38023","1,267","","166","http://nanowrimo.org/participants/sninkychan/novels/bread-and-water/stats"
"sninkychan","Novel: Cubbies","Genre: Alternative history","50230","1,674","Winner!","167","http://nanowrimo.org/participants/sninkychan/novels/cubbies/stats"
"sninkychan","Novel: Untitled Adventure Tale","Genre: Adventure","50175","1,672","Winner!","168","http://nanowrimo.org/participants/sninkychan/novels/untitled-adventure-tale/stats"
"sninkychan","Novel: That other novel","Genre:","50000","1,666","Winner!","169","http://nanowrimo.org/participants/sninkychan/novels/that-other-novel/stats"
"sninkychan","Novel: No lies","Genre:","50000","1,666","Winner!","170","http://nanowrimo.org/participants/sninkychan/novels/no-lies/stats"
"sninkychan","Novel: Sumerian novel","Genre:","50000","1,666","Winner!","171","http://nanowrimo.org/participants/sninkychan/novels/sumerian-novel/stats"
"sninkychan","Novel: Unremembered","Genre:","0","0","","172","http://nanowrimo.org/participants/sninkychan/novels/unremembered-719569/stats"
"sninkychan","Novel: Tridge","Genre:","0","0","","173","http://nanowrimo.org/participants/sninkychan/novels/tridge/stats"
