,Writer Name,Novel Name,Genre,Final Word Count,Daily Average,Winner,Synopses,url,Novel Date,Excerpt
10,Rachel B. Moore,Novel: The Brothers Bolano,Genre: Literary,50200,"1,673",1,"
<p></p>
",http://nanowrimo.org/participants/rachel-b-moore/novels/the-brothers-bolano/stats,November 2007,"
<p></p>
"
11,Rachel B. Moore,Novel: John Brown's Body (I think!),Genre: Literary,50320,"1,677",1,"
<p></p>
",http://nanowrimo.org/participants/rachel-b-moore/novels/john-brown-s-body-i-think/stats,November 2006,"
<p></p>
"
12,Rachel B. Moore,Novel: Neil In The World,Genre: Literary,50639,"1,687",1,"
<p>After losing his job, Neil  Singer joins his sister and his niece in Nicaragua, helping them move back to the States after his sister Jane's long stint in the Peace Corps. As a farewell to her adopted country Jane and Neil and Jane's young daughter Mireya tour the country, meeting new people and having new adventures.<br/> </p>
",http://nanowrimo.org/participants/rachel-b-moore/novels/neil-in-the-world/stats,November 2005,"
<p></p>
"
13,abookishbabe,Novel: Don't Define Me,Genre: Young Adult,29299,976,0,"
<p>Adaline Cole is recently graduated from high school and looking forward to spending her last summer home before college with her dad, best friend and working. Adaline seems very put together on the surface, the adorable girl next door, but Addy has secrets, and demons that she is learning to deal with on a daily basis and not let them define her. This is a story about overcoming, love, friendship, and fun. Hopefully this takes you through a side of ""Crazy"" that you may not have experienced before. For those of you that deal with Anxiety and other disorders... This book is dedicated to you.</p>
<p> </p>
<p> </p>
",http://nanowrimo.org/participants/abookishbabe/novels/don-t-define-me/stats,November 2015,"
<p><span style=""font-weight: 400;"">Ed Sheeran </span><em><span style=""font-weight: 400;"">Tenerife Sea</span></em><span style=""font-weight: 400;""> begins playing through the outdoor speaker system and Will leans in closer and says “Step two in trusting Will: Dance with me like nobody's watching. Step up onto my feet.” So I do. I let my guard down and dance, the best I know how with Will Dixon pressed up against my chest. He spins me around and dips me and as my braid falls back over my shoulder. He brushes away some wispy stray hairs from my neck and kisses me right where the purple paint was. Very lightly, very sensual. Very freaking amazing. He’s smooth. As he lifts me up from my dip, I am giggling so much from the rush of blood to my head and maybe the deliria that Will kissed my neck, that I’m caught off guard by the look he is giving me as he stares into my soul with those ice blue eyes. Our foreheads are touching. Our breath is mixed. Our eyes never leaving each other's. “Addy, I’m going to kiss you now, unless you want me to stop.” I lean closer to him touching my nose to his and closing my eyes in surrender. That’s all the reassurance he needs. </span></p>
"
14,alexabexis,Novel: Venus: Avatars of Olympus #1,Genre: Romance,78800,"2,626",1,"
<p>When Aphrodite, Athena, and Artemis send human avatars to earth, not even the Fates could predict what these ladies will do with just three weeks to live, learn, and love.</p>
<p>Venus, an avatar of the goddess Aphrodite, comes to Earth to help women embrace their femininity through sensual dance, but a cafe owner with a carefully guarded heart diverts her attention away from her mission. </p>
<p>Min, an avatar of the goddess Aphrodite, comes to Earth to get involved in politics, but a mix up at the office puts her in a situation that challenges her ability to empathize with others. </p>
<p>Diana, an avatar of the goddess Artemis, comes to Earth to empower young girls to be strong leaders, but when one of the campers goes missing, she must trust someone else, even though it goes against her archetype.</p>
<p>This is a trio of romance novellas, projected to be ~30,000 words each. (Ha! Venus clocked in at 55k.) This month I'm aiming to finish two of them, Venus and Diana. (Finished Venus, started Diana, and went back to editing Venus after hitting 50k.)</p>
",http://nanowrimo.org/participants/alexabexis/novels/venus-avatars-of-olympus-1/stats,November 2015,"
<p></p>
"
15,alexabexis,Novel: Wolf Demons: A Point Five Novel,Genre: Horror/Supernatural,53000,"1,766",1,"
<p>He's been waiting three years for the love of his long life to return, but she doesn't show up alone, and trouble is nipping at her heels.  </p><p>Set in the same world as Point Five, my 2008 NaNoNovel, and my untitled April 2014 Camp NaNoNovel.</p>
",http://nanowrimo.org/participants/alexabexis/novels/wolf-demons-a-point-five-novel/stats,November 2014,"
<p></p>
"
16,alexabexis,Novel: The Duke's Landscapes,Genre: Romance,51255,"1,708",1,"
<p>When a duke secretly commissions a series of paintings from London's most popular bachelorette, it's strictly business...until an ill-timed first kiss forces them to marry. Can he let go of his past to build a future with a woman who will accept nothing less than his whole heart?</p>
",http://nanowrimo.org/participants/alexabexis/novels/the-duke-s-landscapes/stats,November 2013,"
<p></p>
"
17,alexabexis,Novel: Once Upon a Dream,Genre: Fantasy,57357,"1,911",1,"
<p>A handsome prince must unlock the secrets of magic in order to get out of marrying the princess.</p>
",http://nanowrimo.org/participants/alexabexis/novels/once-upon-a-dream-214455/stats,November 2012,"
<p></p>
"
18,alexabexis,Novel: Mercy (rewrite),Genre: Horror & Supernatural,50083,"1,669",1,"
<p>A nice girl loses everything and finds herself thrown into a world of darkness and danger. </p><p>A rewrite of my 2004 NaNoNovel.</p>
",http://nanowrimo.org/participants/alexabexis/novels/mercy-rewrite/stats,November 2011,"
<p></p>
"
19,alexabexis,Novel: The Ghost of Pier 49,Genre: Horror & Supernatural,13000,433,0,"
<p>Ghost parties, drowned ships, a sunken city, and...possessed mermaids?</p>
",http://nanowrimo.org/participants/alexabexis/novels/the-ghost-of-pier-49/stats,November 2010,"
<p></p>
"
20,alexabexis,Novel: PD,Genre: Fantasy,16805,560,0,"
<p>A group of children from Earth must work together to summon the spirits of a magical new world, or risk the fate of both.</p>
",http://nanowrimo.org/participants/alexabexis/novels/pd-598245/stats,November 2009,"
<p></p>
"
21,alexabexis,Novel: Point Five,Genre: Horror & Supernatural,51000,"1,700",1,"
<p>When Christian reappears as if he'd never left, Lydia isn't quick to forgive. But they've got their hands full tracking a serial killer who's targeting their demon clients. </p>
",http://nanowrimo.org/participants/alexabexis/novels/point-five/stats,November 2008,"
<p></p>
"
22,alexabexis,Novel: Diana,Genre: Horror/Supernatural,48000,"1,600",0,"
<p>The perfect guy turns out to be anything but, and their association makes her a target. Can love exist without trust? </p><p>(Sequel to Mercy, my NaNoNovel from 2004 and the rewrite in 2011.)</p>
",http://nanowrimo.org/participants/alexabexis/novels/diana/stats,November 2007,"
<p></p>
"
23,alexabexis,Novel: Spirited,Genre: Fantasy,35000,"1,166",0,"
<p>A group of teenagers must learn the ways of a strange new world populated by magical creatures in order to keep a great evil at bay.</p>
",http://nanowrimo.org/participants/alexabexis/novels/spirited-598232/stats,November 2006,"
<p></p>
"
24,alexabexis,Novel: Souperheroes,Genre: Adventure,50000,"1,666",1,"
<p>What if the family that owns your favorite sandwich spot is actually a superhero team that fights hobos from space?</p>
",http://nanowrimo.org/participants/alexabexis/novels/souperheroes/stats,November 2005,"
<p></p>
"
25,alexabexis,Novel: Mercy,Genre: Horror/Supernatural,50000,"1,666",1,"
<p>A nice girl loses everything and finds herself thrown into a world of darkness and danger.</p>
",http://nanowrimo.org/participants/alexabexis/novels/mercy-598220/stats,November 2004,"
<p></p>
"
26,AllYellowFlowers,Novel: Untitled (Vigilantes rewrite),Genre: Literary,11000,366,0,"
<p>Three teenage girls (each struggling with their own demons) come across a magic gun that gives out names on pieces of worn and yellowed paper.  By accident at first (then on purpose) they begin to take justice into their own hands.  But things don't always go as expected, do they?</p>
<p>Starting from scratch</p>
",http://nanowrimo.org/participants/allyellowflowers/novels/untitled-vigilantes-rewrite/stats,November 2015,"
<p></p>
"
27,AllYellowFlowers,Novel: Vigilantes,Genre: Literary,10542,351,0,"
<p>Three teenage girls (each struggling with their own demons) come across a magic gun that gives out names on pieces of worn and yellowed paper.  By accident at first (then on purpose) they begin to take justice into their own hands.  But things don't always go as expected, do they?</p>
<p> </p>
",http://nanowrimo.org/participants/allyellowflowers/novels/vigilantes-586401/stats,November 2014,"
<p></p>
"
28,AllYellowFlowers,Novel: Untitled (Honeysuckle Road/ Ghost Story/ That's a Wrap/ S...,Genre: Literary Fiction,19886,662,0,"
<p>This is a collection of connected stories told in multi-p.o.v.  surrounding sandwich shop employees over the course of one summer.   It mainly focuses on twin sisters (who have shared dreams):  one went to college and one stayed behind and a rift  grows between them.   <br/><br/>Also it's about:  a love triangle, a failing business, mental illness, driving fast down country roads, the ghosts of murdered girls, late night television, roof top parties, stolen cigarettes, the meaning of ""home""  <br/></p>
",http://nanowrimo.org/participants/allyellowflowers/novels/untitled-honeysuckle-road-ghost-story-that-s-a-wrap-so-drunk-in-the-august-sun-you-re-the-kind-of-girl-i-like/stats,November 2012,"
<p> </p>
"
29,animalrza,Novel: The Sunday Customer,Genre: Mainstream,25455,848,0,"
<p></p>
",http://nanowrimo.org/participants/animalrza/novels/the-sunday-customer-981112/stats,November 2015,"
<p></p>
"
30,animalrza,Novel: The Sunday Customer,Genre: Mainstream,23528,784,0,"
<p> </p><p>&lt;!--EndFragment--&gt;</p>
",http://nanowrimo.org/participants/animalrza/novels/the-sunday-customer-601407/stats,November 2014,"
<p></p>
"
31,animalrza,Novel: The Sunday Customer,Genre: Mainstream Fiction,23391,779,0,"
<p>Living a life with no consequences, is it really what it seems? How do we deal with the issue of morality? How do we as people grow from the situations we are put in and how does that change the world around us?</p>
",http://nanowrimo.org/participants/animalrza/novels/the-sunday-customer-415499/stats,November 2013,"
<p>""He picked up his cigarettes and lit one. I watched as the smoke trailed from his lips out into the cold autumn air. Oh, to be the smoke that curls from your lips. To always be on the tip of your tongue and invading your lungs with every breath. To be the very thing that eventually kills you one day because you loved it so much to never quit. ""</p>
"
32,animalrza,Novel: The Sunday Customer,Genre: Mainstream Fiction,15757,525,0,"
<p></p>
",http://nanowrimo.org/participants/animalrza/novels/the-sunday-customer/stats,November 2012,"
<p></p>
"
33,Cafenuit,Novel: Familyhood,Genre: Mainstream,50145,"1,671",1,"
<p>Nina was raised in a middle class, fairly liberal family where problems were dismissed, swept under the rug, or talked about in a whisper. As an adult woman, she is facing family issues out in the open where her parents have done a 180 and now live separate lives under the same roof and the illusion of family has been turned inside out. Nina searches for where family still exists and how to connect the memorable, family of the past with the current, modern reality of who they each are today.</p>
",http://nanowrimo.org/participants/cafenuit/novels/familyhood/stats,November 2015,"
<p></p>
"
34,Carmelon,Novel: La Bruja Verde ( The Green Witch),"Genre: fantasy, spiritual, personal,",18999,633,0,"
<p>The story of a green witch's quest to learn the ways of the earth and heal her family and village from the dark magic brought over by ""the strangers""</p>
",http://nanowrimo.org/participants/carmelon/novels/la-bruja-verde-the-green-witch/stats,November 2015,"
<p>Sun withered hands work the earth with expert knowledge and care. The sun hits Bruja Verde's silver curls that hug the frame of her joyfully aged face. It has been too long since long since she last she had dug her fingerprints into the rich soil of the garden. Her eyes glistened holding a million snapshots of the pieces of earth she had touched. Although the woman was a passionate vessel of wanderlust, she was weak to the overwhelming force that called her back to this small piece of land. She had walked all of earths soils and touched leaves on every continent, but always found herself back in this place digging into the ground in hopes of filling her fingertips with enough soil to feel home again. She says that there is no place on earth where plants grow quite as beautifully as here, in the thick warm air and moist clay soil. In her garden there is no hierarchy. As she cares for and blesses the earth with her powers of nourishing and care, so tierra madre cares for and nourishes her. The garden is lush and green overflowing with abundance of fruits, vegetables, and flowers. La Bruja Verde casts all of her power and energy into the ground, and in return is gifted the sweetest of life elixers. She is strong as earth, and just as beautiful. Her eyes crinkle in the corners like her pumpkins when they are beginning the transition from fruit to earth, and her cheek bones strong as the roots of a fig tree.</p>
<p>It is said that la Bruja Verdetierra, was born into a strong family that founded the central city. When she was young, her sisters chased comfort and material joys, bouncing between the family members with the greatest wealth. La bruja verde prefered to stay with her grandmother, who would sit in her chair and sew and pat masa in her hands to make tortillas. When she wasn't watching her grandmother, she could be found with the plants marveling at their beauty sometimes singing to them. They say that Tierra madre ( the womb from which land was born) made saw that she was not an ordinary child. She made la Bruja Verde her apprentice, showed her how to use the powers within her, to connect with earth and call forth plants. La Bruja Verde soon was able to call on the earth dust (from which all people come from) within her, and stir la magia verde (the green magic) that women like her have cultivated for generations under the careful guidance of Tierra Madre. As she grew in age, so she did in strength and knowledge of el mundo verde (the green world). Not only could she use her calloused fingers call forth plants from the espiritus de la tierra (spirits of the earth), but she also learned to accept those offerings of the earth and use them as healing, magic, and blessings for the people of her town.</p>
"
35,carozy,Novel: The Romance Train,Genre: Romance,4451,148,0,"
<p>Clara the Clairvoyant knows that Michael's beautiful wife Carmen has passed in a tragic car accident.   When Clara has a strange encounter with Carmen's ghost, Clara's life takes a psychic and spiritual turn:  her psychic powers disappear and she's saddled with a spiritual quest ~ find Michael and deliver a cryptic message ~ and do it all without the help of her psychic powers.  And what if Michael does not want to be found?</p>
",http://nanowrimo.org/participants/carozy/novels/the-romance-train/stats,November 2015,"
<p></p>
"
36,carozy,Novel: Tiny Viola,Genre: Adventure,34530,"1,151",0,"
<p>Viola is happy as a second-grade teacher.  One day she finds a potion and drinks it.  She wakes up across the world and only 2 inches tall.  She becomes the prisoner of a French couple that keep her locked up and want to put her in a miniature circus for their own profit and amusement.  How can Viola escape and get back to her original size and return home to her life and loved ones?</p>
",http://nanowrimo.org/participants/carozy/novels/tiny-viola/stats,November 2012,"
<p>Happiness is a warm puppy.<br/>Charles M. Shultz<br/><br/>Viola loved her work as a teacher.  The kids kept her young and happy.  She had a group of friends from high school she was still in touch with and saw as regularly as everyone's hectic schedules could allow.  She was single and yet she didn't feel lonely or uber independent.  She was just enjoying life.  She was considering getting a pet, sneaking one into her apartment somehow.. maybe a dog or a cat ~ she loved both ~ maybe a puppy would be fun.  She'd figure out how to take it for walks without her landlord seeing...<br/><br/>Such were her thoughts when she first saw the bottle.  She had been walking home after work and decided to stroll through Lake Park.  The sun was out and the warm evening invited lingering, so she sat at a bench and watched the lake in a daze, thinking about happy puppies and soft cats.  That's when something small and red and twinkling caught her eye.  It was a little ornate bottle, floating in the water near her.  She got down and  reached over and plucked the little glass bottle out.  There was a cork stopper and liquid inside.<br/><br/>Viola regarded the little bottle with interest.  She like cute fanciful things like this.  She put it in her purse.<br/><br/>Why she ever drank that potion she could never figure out.<br/><br/>But that's what she did.  She went home and settled into her evening routine.  A vegetarian dinner (this night, tamales), yoga for an hour, and then the math papers were graded.  She planned her lesson for the next day, drank the potion, brushed her teeth, took a quick shower, then dressed, set her alarm, fell into bed, and went into a deep sleep.<br/><br/>Just like that.</p>
"
37,chrisk0,Novel: Right of the Ice Princess,Genre: Science Fiction,64001,"2,133",1,"
<p>Arallalla is the only daughter of Vineve, chief of the Rileun tribe, hunters and trappers on the icy range. She's an accomplished trapper herself, and encouraged to excel in acrobatic competitions, but never satisfied with her father's answers, or the tribal elders', when she asks questions about how the world works.</p>
<p>After seeing other people far across the range, Arallalla heads off on her own. Followed by Croweir, a lovestruck young hunter, she meets another tribe, then research scientists who live a very different lifestyle among the snow and ice, and finally makes her way to a domed city where people can live surrounded by warmth. There, she finds out the secret that her father and the elders have been keeping in order to preserve the tribe as they see it.</p>
<p>Arallalla heads back to challenge her father and tell the people about their rights. But when she's captured in a trap, her father gives her a dangerous offer. Can she figure out a way to survive his plan and stand up for her right to leave?</p>
",http://nanowrimo.org/participants/chrisk0/novels/right-of-the-ice-princess/stats,November 2015,"
<p></p>
"
38,chrisk0,Novel: Never Found,Genre: Fantasy,60025,"2,000",1,"
<p>People tend to forget about Tricia Colt. In fact, when she ran away from home at thirteen, her family forgot her, and she hasn't been able to find her way back.</p><p>After growing up in foster care, Tricia found a use for her talents in the world of crime; first for mortal gangs, then in the supernatural shadow world of Toronto. But when she meets a Grey Wanderer who tells her how much damage the things she steals could do in the wrong hands, she has to make a choice about where to find herself.</p>
",http://nanowrimo.org/participants/chrisk0/novels/never-found/stats,November 2014,"
<p></p>
"
39,chrisk0,Novel: Trilogy of Rebellion,Genre: Science Fiction,60025,"2,000",1,"
<p>Instead of a single manuscript, this year I'm going to be trying to reach a total of 50k for three different projects, two of which are incomplete Camp Nanowrimo books...<br/><br/>A Witch of Arion: From the time she first heard a little boy calling out 'Come see the witch, get your fortune told' at the fair, Nashua knew she'd become a witch. She runs away from home, joins the fair, and ends up trapped in the tower of an evil witch with a cruel demon. But an unlikely alliance of good witches and fair folk rescue her and help her contact the Voice of the Looking Glass, who arbitrates the Three Challenges for Nashua to sever the psychic link the demon still has on her. (Camp manuscript from August 2012)<br/><br/>The Aurigae Express: When a scam artist slips the Global Police net and escapes to an alien trading planet, Alan Sinclair, mild-mannered forensic accountant volunteers to become Earth's first extra-solar Fugitive Retrieval Marshal. Along with Diane Stewart, (don't call her Dixie!) he travels to the domed city of Argos, where Earthlings are an obscure minority and only the laws that all species can agree on are enforced! (Camp manuscript from April 2013)<br/><br/>Plus... one wild card! :)</p>
",http://nanowrimo.org/participants/chrisk0/novels/trilogy-of-rebellion/stats,November 2013,"
<p></p>
"
40,chrisk0,Novel: Snow Job,Genre: Science Fiction,64270,"2,142",1,"
<p>When Scarlet's parents mortgage her for a five year work term of trapping native animals in the northern reaches, she doesn't want to go through with it. Her boyfriend, Ryan, convinces her to move south with him, and they try to earn enough money to pay off the contract. When time runs out and the corporation's trackers close in on Scarlet, Ryan takes her the one place they can't follow; in among the Orbital terrorists plotting to bring down Corporate Culture. But when Ryan finds out that Scarlet wasn't true to him, he starts to regret that he meddled in her life and got stranded far from home, living among dangerous people. What will the Orbitals as of them next?</p>
",http://nanowrimo.org/participants/chrisk0/novels/snow-job/stats,November 2012,"
<p></p>
"
