,Age,Birthday,Favorite books or authors,Favorite noveling music,Hobbies,Location,Occupation,Primary Role,Sponsorship URL
0,41,,"See ""author bio"" for",silence,"Reading, Muay Thai, running, dancing, political activism, music, yoga, everything to do with India, films/TV, comedy, camping",San Francisco but I'm Australian,"Previously writer, editor. Now writer, researcher, life coach",,
0,,,"Neal Stephenson, Terry Pratchett, Douglas Adams, Connie Willis (To Say Nothing of the Dog), Ken",Answer Unclear. Ask Again Later,"Astronomy, Science, Birds, Science Fiction, Random Philosophizing",San Francisco,aspiring ex-patent attorney,,
0,,,"Currently loving William Kent Krueger's Cork O'Connor series. Favorites are travel fiction, books on the environment, and sci","Iz Kamakawiwo’ole, Italian pop music, Scrubs soundtrack",,"San Francisco, CA",Professor,,
0,,,"Mark Twain, Neil Gaiman, Dave Eggers, Barbara",Punk Rock,,San Francisco,Not Writer...Yet,,
0,22,,,,Probando mis amigos para ver quién esta pagando atención ;),"San Miguel de Allende, México",,,
0,,,"Deep Secret, Fire and Hemlock, Possession, The Children's Book, the Basic Eight; Harry Potter and the Prisoner of Azkaban, Narnia, The Secret Garden, Pride and Predjudice, Wicked, Confessions of an Ugly Stepsister, AS Byatt, Diana Wynne Jones, C.S. Lewis, Gregory MacGuire, Jane","Blackmore's Night, Nox Arcana","Dancing, Solo Performance, Collage, Reading, Ritual, Shamanic Journeying",San Francisco,,,
0,26,,"Good Omens by Terry Pratchett and Neil Gaiman, Terrier by Tamora Pierce and The Redemption of Althalus by David and Leigh","None, can't concentrate on creating with music, but great inspiration BEFORE writing is Linkin Park, Gary Moore and Classic Rock overall.","Reading, writing","Stockholm, Sweden",Fiction writer,,
0,25,December 28,"Antoine de Saint-Exupéry - Courier sud, Jacqueline Carey - Kushiel's Legacy, Marissa Meyer - The Lunar Chronicles, Jessie Burton - The",,"football, writing, reading, music, fashion...","Ostrava, Czech Republic","student, teacher",Municipal Liaison,
0,39,,"Virginia Woolf, Lionel Shriver, Denis Johnson, Amy Hempel, Toni Morrison, Chris Abani, Junot Diaz, Chimamanda Ngozi Adichie, Karen Russell, Clarice Lispector, Asali Solomon, et","NOT musicians I love, such as Thao Nguyen, Bob Dylan, Yoko Ono, Pavement, De La Soul, Lifter Puller, et al. ANYTHING BUT THESE MUSICIANS...because I like to dance.","Reading, Running, Cooking, Drinking Cocktails (is that a hobby, or a pastime?)",San Francisco,Librarian,,
0,,August 10,,,seeking for cute boys everywhere.,us of the a,,,
0,,,Dave Barry is my,,"Swing dancing, knitting, watching the tourists go by on their way to Coit Tower","San Francisco, CA",,,
0,27,,"J.K. Rowling, Colleen Gleason, George R.R. Martin, Cassandra Clare, Suzanne Collins, Rick Riordan, Charlaine Harris, Stephen King and many",Movies scores,"Reading, writing, drawing, being creative, listening to music",United States,Job Hunter,,
0,,,"72 Hour Hold by Bebe Moore Campbell, Kindred by Octavia E.","R&B, Hip Hop, Asian pop music and good old ole' skool jams","Music, Anime, Writing (of course)","Paulding County, GA",,,
0,,,"Ender's Game, Fahrenheit 451, Handmaid's Tale, Sherwood, Orson Scott Card, Atwood, Sedaris, Bradbury, Asimov, Lawhead, Merton,","Lord of the Rings, Gladiator, Transformers, or really loud techno","Travel, RISK (the game of world domination), costume parties, being outside","San Francisco, CA",Creator and destroyer of worlds,,
0,,,"Lewis Carroll, Hendrik Hertzberg, Patrick O'Brian, Terry Pratchett, Dorothy Sayers, Arthur Conan Doyle, David Foster Wallace, Joan",,"painting, re-reading, and lying around",San Francisco,liar,,
0,,,,,,California,,,
0,37,,"Kristin Cashore, Orson Scott Card, Maggie Stiefvater, Patrick Ness, Rob Kroese, Wayne",,"writing, reading, watching really crappy movies (no, like the REALLY CRAPPY ones), archery","Cary, NC",homeschool mom,Municipal Liaison,https://www.classy.org/kristenrudd2015
0,,,"Catcher in the Rye; Seize the Day; Lolita; My Life and Hard Times; The Secret Garden; The Diving Bell and the Butterfly; The Bridge on San Luis Rey; A Girl’s Guide to Hunting and Fishing; Cat’s Cradle; Turn of the Screw; Half Magic; Visit to a Small Planet; Interview With a Vampire; Heartburn; Cannery Row; Siddhartha; Pride and Prejudice; The Time Machine; A Tree Grows in Brooklyn; Shogun; The Godfather; Helter Skelter; All the President’s Men; Hawaii; Atonement; Watership Down; My Stroke of Insight; Portnoy's Complaint; , J. D. Salinger, Alice Munroe, Grace Paley, Charles Dickens, Vladimir Nobakov, Jane Austen, Anton Chekov, Isaac Bashevis Singer, Richard Bausch, Alice Walker, Kurt Vonnegut, Jr., Thornton Wilder, Ralph Waldo Emerson, Saul Bellow, Noel Coward, Henry James, Somerset Maugham, Guy de Maupassant, John Steinbeck, Jamaica Kincaid, Isaac Asimov, George Bernard Shaw, Eugene O’Neil, John Gardner, William Zinsser, David Mamet, Franz Kafka, Chris","For writing--Depends on what I'm writing, but in general mellow, unobtrusive instrumental at low volume, if anything; jazz standards sometimes OK. Silence preferred.","Dancing, reading, visual arts, theatre arts, cinema, nature, animals, hiking.",San Francisco,Instructional designer/Learning consultant,,
0,,,"Dune, The Canterbury Tales, The Rings of Saturn, Homer, Plutarch's Lives, Lucian, Sophocles, Aristophanes, Impro by Keith Johnstone, Martial. I realise how pretentious this list","Dark ambient/techno style music (Actress, Burial, Klara Lewis, patten) because the mood of my nano project is definitely ""wallowing.""","Sitting in coffee shops reading (convenient practise), inventing stories with other people, tai chi and wasting time on the internet (inconvenient practise)","London, UK. Occasionally San Francisco.",Data wrangler,,
0,27,,,My Starred Spotify list,"reading, video games, podcasts, many things sci-fi",San Francisco,UX,,
0,28,,"Spivak, Derrida, Diaz, Nin, Bechdel, Butler (Octavia), Baldwin, Anzaldua, Morrison, Cesaire, Delany,",House Music,"Propagating house plants, Museums, Mixtapes, Watercoloring, Camping, Roadtrips","Oakland, California",Retired Pizza cook,,
0,,December 25,"Jane Austen, Terry Pratchett, Charlaine Harris, Diana","So far, none",Reading,San Francisco,Marketing,,
0,15,March 5,sweet baby jesus don't make me,whatever suits my mood.,"i dunno, man. fangirling? dying? reading? (tv) marathoning?",Atlantis,"Writer, Student",,
0,,April 21,"Night Film, The Mermaid Chair, Birds of Heaven, Reflections on the North Country, Game of","Thunderstorms, Native American flute/drums, Wagner... silence. and sometimes Korn.","Hiking, reading, cooking, writing retreats, gardening",San Francisco Bay Area,"Workshop facilitator and designer, LinkedIn and Social Media Consultant and Stre",,
0,,,"Jeaniene Frost, Anne Rice, Cassandre Clare, Rachel Caine, Melissa Marr, Nicole",All Types,,San Francisco,e-Discovery Project Manager,,
0,,,"Brian Jacques (Redwall), Simon Morden, Philip Pullman, Frank","A mix of Yo-Yo Ma, The Pharcyde, and Riddle of Steel. Or Ratatat radio on Pandora.","Reading, gaming, Kenpo, language acquisition","San Francisco, California",Account Support,Municipal Liaison,http://www.classy.org/nemodos2015
0,,,"Richelle Mead,Stephenie Meyer,Christopher Pike,Veronica",,"Writing,Reading,Listening to music,Singing",Fresno California,,,
0,,November 2,"Elena Ferrante, William Styron, Jesmyn Ward, Sherman Alexie, Scott Westerfeld, Chimamanda Ngozi Adichie, Joshua Mohr, Kwame Alexander, Patricia",,,San Francisco,Director of Programs,admin,
0,,,Robert,Techno,,San Francisco,Gov't,,
0,,,"Lydia Peele, Barbara Kingsolver, Alice Munro, Kevin Brockmeier; Lauren",Spotify superior study playlist,"stories (books, TV, movies); hiking; riding my bike; petting my cats who are often laying on me or my desk while I write","Seattle, WA",copyeditor; flash fiction workshop instructor,,
0,,,,,,,,,
0,23,,"David Sedaris, Edward Albee, Haruki Murakami, Dave","Sufjan Stevens, Santo and Johnny","Reading, Acting, Playing Music",San Francisco,Actor,,
0,,,"Joan Didion, Philip K. Dick, Michael Chabon, Neil","Dan Deacon, They Might Be Giants, Stereolab, Stereo Total, Kevin Blechdom, Peaches",system administration,"Portland, OR",,,https://www.stayclassy.org/fundraise?fcid=343440
0,,,"Martin Amis (London Fields), Patrick Rothfuss, Neal Stephenson (Baroque Cycle), Judy Blume, and because it's Halloween -- Mark Z. Danielewski's The House of Falling Leaves (WARNING Do not read this book if you are currently doing work on your house and/or live someplace with long","Jazz. Occasionally Kermit Ruffins, Florence and the Machine, and that song by Elle King I can't stop humming","plotting diabolical plot twists, drinking wine/coffee/beer/cocktails, cycling, hiking, traveling, photography","Portland, OR",exec dir of a mobile app startup,,https://www.classy.org/fundraise?fcid=541966
0,16,,,Anything,"Photography, playing piano, writing",In my dreams,,,
0,,,,"Beethoven delivered via Rhaposdy, enigmatically ...",,San Francisco,IT,,
0,,,Most recently I've been working through the Harry Potter series. Currently on Half-Blood,"For novel writing, silence. I may try some Haydn. I usually listen to (and complain about) the local cafe's output.","card and board games (playing and design), popular science, PC gaming, political issues",Haight Ashbury / Hayes Valley,,,
0,,,"Lately, ""A Primate's Memoir"" by Robert Sapolsky, ""Book of Lost Things"" by David Connolly, ""Things That Are"" by Amy Leach, ""The Magicians"" Trilogy by Lev Grossman. I also frequently seek the company of Margaret Atwood, Mary Roach, Bill Bryson, Neil Gaiman, Lewis Carroll, Barbara Kingsolver and Oliver Sacks. Please give me something new to read. By which I mean, don't recommend a book. Just hand it to","Instrumental is least distracting, but mellow & mopey can work as well. A deep personal conversation occurring nearby can be very inspirational; ditzy preferred.","Dancing, making foods at home that most people just buy at the grocery story, heights and height-related activities, assorted mockery, cheese","San Francisco, CA. But mostly Neverland.",Persuasion and Comfort,,
0,,,"The Secret History, Ursula K. le Guin, Alki Zei, Donna Tartt, Kazuo Ishiguro, Anna Gavalda, Guy Gavriel Kay, Neil","The Decemberists, The National, soundtracks, other cool stuff","writing, reading, urban exploration, cooking, trying new things","Helsinki, Finland",Student,,
0,,,"Christopher Moore, Terry Pratchett, Jane Smiley, Bill Bryson. Sacre Bleu, Thud!, Moo, In a Sunburned","Leo Kottke, Iz Kamakawiwo'ole, Ka'au Crater Boys, Nujabes","Drawing, reading, long walks downtown, cooking, ukulele","Berkeley, CA",Healthcare Interpreter,Municipal Liaison,
0,,,,,"ecstatic dance, contact improv, ukulele,",East Bay,why so many,,
0,,,"Edward Abbey, Michael Connolly, James Ellroy, Barbara Kngsolver,Jane Smiley, A. McCall",Ukulele and Slack Key Guitar,"horses, active galaxies, local history, staggering along trails, youth advocy","Squirrel Hill, Oakland","writer, real estate broker, retired engineer",,
0,18,June 16,"Ned Vizzini, JK Rowling, Jodi Picoult, Rick Riordan, Chris De'Lacey, Suzanne Collins, Veronica Roth, Joelle Charbonneau, Kristin","Three Days Grace, Shinedown, Thirty Seconds To Mars, Issues, David Cook, Daughtry, The Goo Goo Dolls, The Fray","Singing, writing, going to concerts, playing video games","Hayward, CA, USA",Student at California State university East Bay,,
0,,,"The Great Gatsby, The Hunt for Red October, The Handmaid's Tale, 2001 A Space Odyssey, many","JRPG soundtracks, anime soundtracks, Beethoven's 3rd, Radiohead, hilariously peppy J-Pop, waltzes, minuets, Top Gear, numbers stations","Video games, drawing, writing of course, driving,","Moraga or San Jose, California, USA","Student, dreamer.",,
0,,,"Sunshine (Robin McKinley), White Dragon (Anne McCaffrey), Outlaws of Sherwood (Robin McKinley), Fire Dancer (Ann Maxwell), Anne McCaffrey, Robin McKinley, Mercedes Lackey, Ann Maxwell, Neal Stephenson, David R.","2Cellos, Birthday Massacre, Dune, Nightwish, Beseech, Charon, Delerium","Role Playing Games, Books, Movies, Adventure Travel, Laziness","Madison, WI",,Municipal Liaison,
0,,,"DFW, Junot Diaz, Christopher Moore. Read every Agatha Christie by age",silence,Fantasy hobbies surfing and painting,"El Cerrito, CA",Consulting,,
0,30,,"""Patient Zero"" by Jonathan Maberry, ""Fight Club"" by Chuck Palahniuk, and ""Byzantium"" by Stephen",http://www.youtube.com/playlist?list=PLWuaXjZbo-m1cJBxbXgqXyRWesBp0cZej,"Analyzing movies, mental health advocacy, researching penguins, history, etymology, theology, and philosophy.","Apocalypse Springs, CO",Freelancer,,
0,57,,"We Have Always Lived in the Castle, by Shirley Jackson, Clive Barker, Philip K. Dick, Samuel Beckett, Stephen King, James Joyce, Shirley Jackson, Carlton Mellick III, Eugene O'Neil, Poppy Z. Brite, Francesca Lia Block, Sarah","Captain Beefheart, Joy Division, Brian Eno, METALLICA, Paganini, King Crimson, 70's Punk Rock, Bela Bartok, Ramms+ein, Bob Dylan, Radiohead...","Photography, taphophilia, Buffy the Vampire Slayer, driving around w/my GPS, horror film & literature, book sales, the sea, the sea...","San Ramon, California",photographer/writer/vegetable-selling-man,,https://www.classy.org/fundraise?fcid=239622
0,36,January 12,"John Steinbeck, Jack Kerouac, Charles Bukowski, George Orwell, Aldous Huxley, Ray Bradburry, Chuck Palahniuk, Carl Sagan, Tom Brown Jr., Alex Garland, Robert Moss, Gary Paulsen, Howard Zinn, Stephen",Instrumentals,"Filmmaking, comic books, 3D Printing, Star Trek","Oakland, CA",Writer/Director,,
0,,,,"Alternative, R&B",Watching movies and writing,Oakland/Alameda,,,
0,,,"When True Night Falls, Lilith's Brood, Dune and all of its spin-offs, The Silmarillion, Anything by Octavia Butler, CS Friedman, Frank or Brian",,,"Hayward, CA","Author, Technology Consultant",,
0,,,"I love books on craft (Goldberg, King, Lamott). My favorite storyteller is Carson",Currently I Monster,I don't consider writing a hobby. Hobbies are things you do when you want to relax like knitting or whittling. I do neither. I write. I have no hobbies.,"Bay Area, Northern California","teacher, writer, mom",,
0,,,"Anne McCaffrey's Dragonriders of Pern, The Golden Compass Trilogy, Atlas Shrugged, Allegory of the","Shiny Toy Guns - Frozen Oceans, Somewhere to Hide; M83 - Starwaves;","Writing, drawing, computer games, cooking, mixing cocktails, making props and graphic design","Davis, CA",Family Medicine Resident Physician,,
0,28,July 1,"Neil Gaiman, David Sedaris, Dave Eggers, JK Rowling, Cassandra Clare, George RR",mostly just coffeehouse chatter.,"writing (obviously), baking, hiking, Netflix (that counts, right?)","Oakland, California",Audio Engineer / Producer,,
0,28,November 5,"Stephen King, Terry Goodkind, Rachel","EDM, something with a steady beat, or classical music. Really anything. I just can't write in silence...","Running, Swimming, Biking, Music, Programming, Living life to the max","Fairfax, CA",Jr Business System Analyst,,
0,34,,"Lois McMaster Bujold, Sherwood Smith, Sarah Monette, Emma Bull, Joan D. Vinge, Kristine Smith, Kari","a 5,000 song playlist of just about everything on shuffle","geocaching, drumming, taxidermy, firespinning","Naples, NY",Librarian,,
0,,,"stienbeck, melville, beckett, Hemingway, shepard, robbins, t.c.","classical, jazz, blues","sailing, fly fishing, gym, community service",Berkeley,"retired jockey, self-employed",,
0,,,"The Sheltering Sky, A Visit from the Goon Squad, Under the Volcano, Housekeeping, The Windup Girl, Tender Is the Night, Madame Bovary, Invisible Cities, Anna Karenina, Paul Bowles, Lydia Davis, Daniel Clowes, Doctor Seuss, Yasunari Kawabata, James Ellroy, Nathalie Sarraute, James Salter, Denis Johnson, Basho, Frank Portman, Jenny Offil, Paolo Bacigalupi, Zora Neale Hurston, Robert Stone, Malcolm Lowry, Dorothy Parker, Herman Hesse, Alice Munro, Raymond Chandler, Anne Sexton, Roland Barthes, Milan Kundera, Graham Greene, Jane Austen, Fyodor Dostoevsky, William Gibson, Ray Bradbury, Philip K. Dick, Dean Young, Anais Nin, Teju Cole, Tony Hoagland, Raymond Carver, John Ashberry, Langston Hughes, Heather","Arvo Part, William Basinski, X, Sigur Ros, The xx, Coco Rosie, Perfume Genius, John Cage, Eric Satie, Chelsea Wolfe, Morton Feldman","Making collages, taking photos, junk collecting, hot tubbing, tap dancing",Berkeley,Executive Director of a Wildly Creative and Wondrous Organization,admin,
0,27,,"Patrick Rothfuss, Dragonlance Novels, Sabriel, Dealing with Dragons, Assassin's Apprentice, Lord of the Rings, Song of the Lioness Series, The Hobbit, Margaret Weis, Tracy Hickman, Tamora Pierce, Tolkien, Garth Nix, Robin",Epic Pandora Radio Station,"Reading, outdoory stuff, animals, sewing, LARP","Everett, WA",Scientist,Municipal Liaison,
0,,,,Whatever my MC is currently into,Thinking about the future,California,PhD Candidate,,
0,,,"Jostein Gaardner, Tamora Pierce, J.K. Rowling, Heinlein, Rick Riordan, Neil",,"Reading, Arts & Crafts, Cooking",San Ramon,Teacher,Municipal Liaison,
0,54,,"I am a lover of children's books, short and sweet! Sadly I don't have a list of favorite authors but I do remember A 1959 novel by Jean Craighead George ""My Side of the Mountain"" about the adventures of a young boy and how he survived in the wilderness. I still remember the thrill I felt reading it., Neal A Maxwell, Sheri",,I like my dog. I like art and creating with my hands. I like to garden. I love my friends and family.,"Majesticly Beautiful, Tooele County Utah",,,
0,,,,mixed,"phonetography, fiber arts, painting, birding","Boston, MA Metro Region",,,
0,,,,tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap,,"Oakland, California, USA","Engineer, Artist, Writer, Coder, infrequent",,
0,58,August 12,"T.E.D. Klien, Connie",Mikalos Roza Soundtracks,"Writing and Producing LARP events, RPG tabletop games, Knitting",Oakland,Self,,
0,30,,Most memoirs and,"Acoustic, like Boyce Avenue Style but instrumental.","sewing, traveling, crafting, pretending to be an entrepreneur, coffee shop-hanging, reading","Hayward, California",Educator,,
0,42,July 19,"I love The Black Hole Travel Agency by Jack McKinney (for personal reasons), Sunburst by Phyllis Gottlieb, everything David Brin has ever written, and the same for Dave Duncan. I think I like Joey Comeau's stories, but I'm not sure they were written to be enjoyed, so maybe I'm reading them","Harsh, grating industrial.","I enjoy eating food that makes my insides die, recovering from injuries, being awake forever and always, believing I understand and am good at Mathematics, and trusting indiscriminately.","Danville, CA","Office Manager, maybe? We never really did decide on a title for me.",,
0,,,I like them,none.,"writing, reading, crafts, dancing, singing, cooking, games, hiking, long walks.","Oakland, CA",Novice Writer,,
0,,June 8,"God, Brandon Mull, Cornelia Funke, Ken Follet, Markus Zusak, Catherine Valente, Rick Riordan, Jonathan","The Script, American Authors, Piano Guys, OneRepublic, Fallout Boy, Imagine Dragons, Bastille","I Church, Mock Trial, MUN, DECA, Adobe Creative Cloud, Volunteer, Engineer, and make the world go round.",San Ramon,Student,,
0,,,"J. R. R. Tolkien, Patrick Rothfuss, Neil Gaiman, Sarah Addison Allen, Alice Hoffman, Jim Butcher, Erin Morgenstern, Emily Dickinson, Jane Austen, Brene Brown, Bill Bryson, Jared",I prefer silence when writing; I'm bad at multi-tasking.,"Reading, Letterpress Printing, Photography, Baking",Hayward,Librarian,,
0,,,"Outlander, The Great Gatsby, Princess Bride. Gabaldon, Shakespeare, Brontë, Austen, F. Scott Fitzgerald, Gail","Mumford and Sons, Marcus Foster, Angus and Julia Stone","writing, skiing, writing, gardening, writing.",bay area,graphic designer,,
0,29,,Too many to,Showtunes!,"Reading, writing, cooking gluten free, kicking it with my dog, movies, singing karaoke, the beach","Honolulu, HI",Middle School English Teacher,Municipal Liaison,
0,,,"All sorts but Fantasy/Sci Fi, Pern, Discworld,",,"anime, movies, fanfiction, reading, writing, climbing, hiking","East Bay, California",IT,,
0,,,"Ivan Illich, W S Burroughs, Mark Twain, Gary Snyder, H de Balzac, Marge Piercy, Ken Kesey, Wendell Berry, Jorge Amado, Germaine Greer, Alexandro Jodorowsky and R A Heinlein come immediately to",ambient sound. no music,"didgeridoo, performance, conversation, reasoning, exercising body and senses","San Pablo, CA, USA","musician/performer/ritualist, home artist/""carpenter"", research scientist (ret.)",,
0,31,,"I am the Messenger, The Book Thief, Anne of the Island, Anne of Green Gables, The Blue Castle, Harry Potter series, Series of Unfortunate Events, Little Women, Hope was Here, Chronicles of Narnia, etc..., Lucy Maud Montgomery, J.K. Rowling, Lemony Snickett, C.S. Lewis, Adrian Plass,",Depends on what I'm writing about,"Music, playing instruments, singing, directing my choir, writing music, writing, reading, movies, TV, filming and film editing, scrapbooking, spending time with friends or my boyfriend, movies, walking, swimming, etc","Austin, Texas",Church music director / Instacart Shopper,,
0,,,The Three,"Usually none, but when I do it's quiet classical.","reading, exploring new things, computer games, watching a bit of TV","Pleasanton, CA",iOS Software Engineer,,
0,,,"Book Theif by Markus Zusak, Dr. Zhivago by Pasternak, and Crime and Punishment by","Imagine Dragons, Puccini (opera), Evanescence, 5sos, Maroon5, P!nk, Paramore....",,"Oakland, CA",student :p,,
0,,,,cafe background,"photography, backpacking, reading",California,,,
0,,January 3,"Biographies, Harry Potter, ""The Dirt"", ""The Heroin Diaries""., E.R Burroughs, JK",Metal. Hard Rock.,"RPGs, BJDs, Tiki-o-phile, Rum, anything that Glows in the Dark",Nor Cal - 510,"Printing Technician, Maze Haunter, Scare Actor.",,
0,,,"Austen, Hugo, LeGuin, McGuckian, Owen, Rowling, Wright; Robin",no music,developing a realistic world view,,,,
0,,,"Juliet Marillier, Rachel Kane, Ann Agguire, Gail Carriger, Gini Koch, Piers Anthony, George R.R. Martin, Agnes and the","Mixed Medley - Instrumental, Rock, Metal, Hip Hop, Soul, etc.","Reading, Gardening, Ukulele, Food, and lots of Tea",Marin,,,
0,61,,"Stephen King, Margaret E. Atwood, Anne Rice, To Kill a Mockingbird (all time favorite",Environmental sounds. Music tends to get in the way.,"Reading, writing, crocheting, knitting, and anything that can be done on a computer.","Concord, CA",Ask me December 1st.,,
0,,,"Terry Pratchett, Douglas Adams, J.K. Rowling, Isaac Asimov, J.P.",,"Gaming, Writing, Reading","Berkeley, CA",Preschool Teacher,,
0,,February 23,"George RR Martin, Arthur C. Clarke, Jerry Pournelle, Larry",Light Classical,"ice hockey, amateaur radio, movies",San Francisco Bay Area,Hmmm.....,,
0,,,Cozies; Mysteries; Thrillers; Inspirational & uplifting,classical,"nature, gardening, walking, experimenting, the ocean, mountains, and art.","Oakland, CA the birth city of NWM",Psychotherapist & Author/Writer,,
0,,,"The Lord of the Rings, The Hobbit, The Moon is a Harsh Mistress, A Thousand Words for Stranger, The Ship Who Searched, Starship Troopers, The Foundation Series, The 13 1/2 Lives of Captain Blubear, Rumo, 1632, The Honor Harrington Series, The Tales of Drizzt, A Connecticut Yankee in King Arthur's Court, Halo The Fall of Reach, The Dresden Files...etc..., JRR Tolkien, RA Salvatore, Anne McCaffery, David Weber, Heinlein, Walter Moers, Asimov, Mark Twain, Jim",Distant Worlds II (Orchestral version of Final Fantasy Music),"reading, gaming, anime, whistling","Oklahoma City, Oklahoma",Employee of the University of Oklahoma,Municipal Liaison,
0,28,,Read (almost) all the,This should help http://www.last.fm/user/ecarrotsushi,"writing, Nano, reading, languages, overanalysis, procrastination, tea, good food, maths, open technology and culture, online communities, exploring new places, running (or having run), not being eaten, hashtag shenanigans, ...","Atlanta, Georgia, USA",Pretending to be an adult,,
0,,,"J.K. Rowling, Anne McCaffrey, Suzanne Collins, Kristin Cashore, Agatha",Pretty much anything that has to do with my novel ^^,"Reading, Roleplaying, Writing, Playing with my bird, Handicrafts, tumbling down tumblr, perusing the forums, fangirling over people/things",Azusa,Full time College student,,
0,,July 25,"John Steinbeck, Armistead Maupin, Carl","jazz, bossa nova, blues","writing, painting, walking, biking, dancing, building with LEGOS","Pleasant Hill, Ca",teacher,,
0,26,October 17,,,"blogging, reading, hiking, photography, yoga & people-watching","Alameda, CA",Freelance Writer &,,
0,,,"the Brontes, Austen, Ursula K. Le Guin, Joanna Russ, Terry Pratchett, Barbara Kingsolver, Dorothy Allison, Barbara Hambly,,Toni Morrison,David Bradley,Joseph",depends on whose voice I'm writing in,"cross-stitch, bread-baking, California, Pennsylvania, complicated personal relationships","East Bay, California, USA",writer and editor,,
0,,November 24,"Veronica Roth, Veronica Rossi, Marissa Meyer, Ransom Riggs, Tahereh",,"Writing, reading, hiking.","Bay Area, CA",Author,,
0,,,"The Dark Tower (series), Dreamcatcher, The Cycle of the Wolf, The Picture of Dorian Gray, The Eyes of the Dragon, Fable The Balverine Order, The Night Angel (trilogy), Innocent Mage, Stephen King, Edgar Allan Poe, Oscar Wilde, Bram Stoker, Chris Poullini, Brent","Nox Arcana, Nightwish, Kamelot...anything that's a bit on the darker side of things I suppose","Computer coding, Singing, Dance, Composing, Drawing","Cutler, CA",,,
0,,,"J.K. Rowling, Ngugi wa Thiong'o, Aimee Bender, Ursula LeGuin, Ray Carver, David Sedaris, William","Blind Pilot, Mumford and Sons, The Shins, Scala and Kolacny Brothers, Regina Spektor, Old Crow Medicine Show, Los Campesinos, Matthew and the Atlas, Josh Turner","music, drawing, zombies, writing, reading, crosswords, zoo and aquariums...","Clovis, CA",Student/Educator,,
0,,,"Steinbeck, Twain, Orwell,",Explosions in the Sky Pandora,"Writing, fishing, clubbing, partying, cooking, sleeping, canoeing, cats",Fresno,Chef,,
0,,,"Brent Weeks, J.K. Rowling, Mark Twain, Erin Hunter,",Show Tunes or Pop,"Music, Writing, Gaming",Fresno State,Student,,
0,,December 2,"The Secret History, A Separate Peace, Peace Breaks Out, Interview With the Vampire, To Kill a Mockingbird, Good",video game OSTs,"writing, drawing, blogging, crying",california,,,
0,,,"A Tree Grows in Brooklyn, To Kill A Mockingbird, Anne Lamott, Nick Hornby, Sherman Alexie, Jennifer Niven Barbara Kingsolver, Marian Keyes, Rainbow Rowell, David Abrams, Scott Simon, Shirley Jackson, Flannery O'Connor, Jennifer Weiner, Truman Capote, Sarah Dessen, Connie May Fowler, Rebecca Wells, Judy Blume, Jessica Inclan, Sharon Olds, Beverly Cleary, Susan Browne, Cheryl Strayed, Nora Ephron, Armistead Maupin, Linda Bloodworth Thomason, Amy Sherman Palladino, David Sedaris, John Irving, Sydney Taylor, Marilyn","Joni Mitchell, Miles Davis, Judy Collins","yoga, movies, music","Fresno, CA",,,
