,Writer Name,Member Length,LifetimeWordCount,url,Age,Birthday,Favorite books or authors,Favorite noveling music,Hobbies,Location,Occupation,Primary Role,Sponsorship URL,Expected Final Word Count,Expected Daily Average,CURRENT WINNER,Current Donor,Wins,Donations,Participated,Consecutive Donor,Consecutive Wins,Consecutive Part,Part Years,Win Years,Donor Years,Num Novels,Expected Num Submissions,Expected Avg Submission,Expected Min Submission,Expected Min Day,Expected Max Submission,Expected Max Day,Expected Std Submissions,Expected Consec Subs,FW Total,FW Sub,FH Total,FH Sub,SH Total,SH Sub
11,cretsi,5,258419,http://nanowrimo.org/participants/cretsi,,,"Neal Stephenson, Terry Pratchett, Douglas Adams, Connie Willis (To Say Nothing of the Dog), Ken",Answer Unclear. Ask Again Later,"Astronomy, Science, Birds, Science Fiction, Random Philosophizing",San Francisco,aspiring ex-patent attorney,,,51683.8,1722.79333333,1,1,5,5,5,5,5,5,"[2010, 2011, 2012, 2013, 2014]","[2010, 2011, 2012, 2013, 2014]","[2010, 2011, 2012, 2013, 2014]",5,13.6,2500.11027778,712.2,7.4,5190.2,18.4,1194.49839594,11,11920,5,11920,5,11920,5
12,dazart,1,0,http://nanowrimo.org/participants/dazart,,,"Currently loving William Kent Krueger's Cork O'Connor series. Favorites are travel fiction, books on the environment, and sci","Iz Kamakawiwo’ole, Italian pop music, Scrubs soundtrack",,"San Francisco, CA",Professor,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,3483,2,3483,2,3483,2
13,dgiuliani,5,124311,http://nanowrimo.org/participants/dgiuliani,,,"Mark Twain, Neil Gaiman, Dave Eggers, Barbara",Punk Rock,,San Francisco,Not Writer...Yet,,,62155.5,2071.85,1,0,2,1,2,1,1,1,"[2010, 2013]","[2010, 2013]",[2013],2,12,1087.67391305,234,1.5,1866.5,10,432.499324169,11,10963,6,10963,6,10963,6
14,FaerieRogue,1,0,http://nanowrimo.org/participants/FaerieRogue,22,,,,Probando mis amigos para ver quién esta pagando atención ;),"San Miguel de Allende, México",,,,,,1,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,45136,7,45136,7,45136,7
15,fallingleaf,8,323086,http://nanowrimo.org/participants/fallingleaf,,,"Deep Secret, Fire and Hemlock, Possession, The Children's Book, the Basic Eight; Harry Potter and the Prisoner of Azkaban, Narnia, The Secret Garden, Pride and Predjudice, Wicked, Confessions of an Ugly Stepsister, AS Byatt, Diana Wynne Jones, C.S. Lewis, Gregory MacGuire, Jane","Blackmore's Night, Nox Arcana","Dancing, Solo Performance, Collage, Reading, Ritual, Shamanic Journeying",San Francisco,,,,46155.1428571,1538.5047619,0,0,6,1,7,1,4,7,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2008, 2009, 2010, 2011, 2013, 2014]",[2010],7,12,1060.502679,207.285714286,4,3097.42857143,10,723.789650894,11,4391,3,4391,3,4391,3
16,FeliciaFredlund,6,114652,http://nanowrimo.org/participants/FeliciaFredlund,26,,"Good Omens by Terry Pratchett and Neil Gaiman, Terrier by Tamora Pierce and The Redemption of Althalus by David and Leigh","None, can't concentrate on creating with music, but great inspiration BEFORE writing is Linkin Park, Gary Moore and Classic Rock overall.","Reading, writing","Stockholm, Sweden",Fiction writer,,,28663,955.433333333,0,1,2,4,4,4,2,4,"[2011, 2012, 2013, 2014]","[2011, 2012]","[2011, 2012, 2013, 2014]",4,13.5,1890.3502886,204,14.25,8392.5,22,1981.01165656,11.25,922,2,922,2,922,2
17,grenouille,7,379415,http://nanowrimo.org/participants/grenouille,25,December 28,"Antoine de Saint-Exupéry - Courier sud, Jacqueline Carey - Kushiel's Legacy, Marissa Meyer - The Lunar Chronicles, Jessie Burton - The",,"football, writing, reading, music, fashion...","Ostrava, Czech Republic","student, teacher",Municipal Liaison,,63235.8333333,2107.86111111,1,0,6,0,6,0,6,6,"[2009, 2010, 2011, 2012, 2013, 2014]","[2009, 2010, 2011, 2012, 2013, 2014]",[],6,19.1666666667,1252.40579365,111.666666667,12.3333333333,3826.33333333,15.8333333333,780.43262566,18.8333333333,10974,7,10974,7,10974,7
18,hbt003,4,180642,http://nanowrimo.org/participants/hbt003,39,,"Virginia Woolf, Lionel Shriver, Denis Johnson, Amy Hempel, Toni Morrison, Chris Abani, Junot Diaz, Chimamanda Ngozi Adichie, Karen Russell, Clarice Lispector, Asali Solomon, et","NOT musicians I love, such as Thao Nguyen, Bob Dylan, Yoko Ono, Pavement, De La Soul, Lifter Puller, et al. ANYTHING BUT THESE MUSICIANS...because I like to dance.","Reading, Running, Cooking, Drinking Cocktails (is that a hobby, or a pastime?)",San Francisco,Librarian,,,16422,547.4,0,1,0,0,11,0,0,8,"[2001, 2003, 2004, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",[],[],11,1.27272727273,774.227272727,409.909090909,1.27272727273,1211.09090909,1.09090909091,366.621543765,0.454545454545,8764,4,8764,4,8764,4
19,imtrisprior,1,50000,http://nanowrimo.org/participants/imtrisprior,,August 10,,,seeking for cute boys everywhere.,us of the a,,,,50000,1666.66666667,0,0,0,0,1,0,0,1,[2014],[],[],1,1,0,0,1,0,1,0,0,4694,2,4694,2,4694,2
20,Jamesalicious,5,127382,http://nanowrimo.org/participants/Jamesalicious,,,Dave Barry is my,,"Swing dancing, knitting, watching the tourists go by on their way to Coit Tower","San Francisco, CA",,,,31845.5,1061.51666667,0,0,2,2,4,2,2,2,"[2004, 2011, 2013, 2014]","[2013, 2014]","[2013, 2014]",4,16,1332.97768116,275,15.75,3793.5,13.5,806.468196465,14.5,5534,5,5534,5,5534,5
21,Jen Gambale,3,133193,http://nanowrimo.org/participants/jen-gambale,27,,"J.K. Rowling, Colleen Gleason, George R.R. Martin, Cassandra Clare, Suzanne Collins, Rick Riordan, Charlaine Harris, Stephen King and many",Movies scores,"Reading, writing, drawing, being creative, listening to music",United States,Job Hunter,,,44397.6666667,1479.92222222,1,0,2,0,3,0,2,3,"[2012, 2013, 2014]","[2012, 2013]",[],3,23,1845.20378352,211.666666667,12.3333333333,4754.33333333,22,1062.4669188,22.6666666667,5433,6,5433,6,5433,6
22,K. R. Smith,2,93385,http://nanowrimo.org/participants/K-R-Smith,,,"72 Hour Hold by Bebe Moore Campbell, Kindred by Octavia E.","R&B, Hip Hop, Asian pop music and good old ole' skool jams","Music, Anime, Writing (of course)","Paulding County, GA",,,,31128.3333333,1037.61111111,0,0,1,0,3,0,1,2,"[2009, 2013, 2014]",[2013],[],3,6.66666666667,3325.75925926,0,1,17504.3333333,9.33333333333,5406.06321495,3.66666666667,0,0,0,0,0,0
23,Kelvarus,6,173731,http://nanowrimo.org/participants/Kelvarus,,,"Ender's Game, Fahrenheit 451, Handmaid's Tale, Sherwood, Orson Scott Card, Atwood, Sedaris, Bradbury, Asimov, Lawhead, Merton,","Lord of the Rings, Gladiator, Transformers, or really loud techno","Travel, RISK (the game of world domination), costume parties, being outside","San Francisco, CA",Creator and destroyer of worlds,,,34746.2,1158.20666667,0,0,3,3,5,2,2,5,"[2009, 2010, 2011, 2012, 2013]","[2009, 2010, 2012]","[2009, 2011, 2012]",5,8.4,874.88962963,112.6,6.4,1988.2,11,635.577192564,6.8,6576,6,6576,6,6576,6
24,khmore,6,300513,http://nanowrimo.org/participants/khmore,,,"Lewis Carroll, Hendrik Hertzberg, Patrick O'Brian, Terry Pratchett, Dorothy Sayers, Arthur Conan Doyle, David Foster Wallace, Joan",,"painting, re-reading, and lying around",San Francisco,liar,,,50085.5,1669.51666667,0,0,6,4,6,2,6,6,"[2009, 2010, 2011, 2012, 2013, 2014]","[2009, 2010, 2011, 2012, 2013, 2014]","[2009, 2010, 2012, 2014]",6,17.3333333333,1317.12647715,298.333333333,8.16666666667,3548.66666667,10.8333333333,761.873892262,16.3333333333,11748,5,11748,5,11748,5
25,kp17,1,0,http://nanowrimo.org/participants/kp17,,,,,,California,,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,17229,2,17229,2,17229,2
26,kristenrudd,8,311913,http://nanowrimo.org/participants/kristenrudd,37,,"Kristin Cashore, Orson Scott Card, Maggie Stiefvater, Patrick Ness, Rob Kroese, Wayne",,"writing, reading, watching really crappy movies (no, like the REALLY CRAPPY ones), archery","Cary, NC",homeschool mom,Municipal Liaison,https://www.classy.org/kristenrudd2015,38989.125,1299.6375,1,1,5,4,8,2,4,6,"[2004, 2007, 2009, 2010, 2011, 2012, 2013, 2014]","[2009, 2011, 2012, 2013, 2014]","[2009, 2011, 2013, 2014]",8,13,1005.10073579,200.125,10.5,2255.5,11.625,450.953111255,12.25,14330,7,14330,7,14330,7
27,lavenderblue,6,301110,http://nanowrimo.org/participants/lavenderblue,,,"Catcher in the Rye; Seize the Day; Lolita; My Life and Hard Times; The Secret Garden; The Diving Bell and the Butterfly; The Bridge on San Luis Rey; A Girl’s Guide to Hunting and Fishing; Cat’s Cradle; Turn of the Screw; Half Magic; Visit to a Small Planet; Interview With a Vampire; Heartburn; Cannery Row; Siddhartha; Pride and Prejudice; The Time Machine; A Tree Grows in Brooklyn; Shogun; The Godfather; Helter Skelter; All the President’s Men; Hawaii; Atonement; Watership Down; My Stroke of Insight; Portnoy's Complaint; , J. D. Salinger, Alice Munroe, Grace Paley, Charles Dickens, Vladimir Nobakov, Jane Austen, Anton Chekov, Isaac Bashevis Singer, Richard Bausch, Alice Walker, Kurt Vonnegut, Jr., Thornton Wilder, Ralph Waldo Emerson, Saul Bellow, Noel Coward, Henry James, Somerset Maugham, Guy de Maupassant, John Steinbeck, Jamaica Kincaid, Isaac Asimov, George Bernard Shaw, Eugene O’Neil, John Gardner, William Zinsser, David Mamet, Franz Kafka, Chris","For writing--Depends on what I'm writing, but in general mellow, unobtrusive instrumental at low volume, if anything; jazz standards sometimes OK. Silence preferred.","Dancing, reading, visual arts, theatre arts, cinema, nature, animals, hiking.",San Francisco,Instructional designer/Learning consultant,,,50185,1672.83333333,1,1,6,6,6,6,6,6,"[2009, 2010, 2011, 2012, 2013, 2014]","[2009, 2010, 2011, 2012, 2013, 2014]","[2009, 2010, 2011, 2012, 2013, 2014]",6,17.5,1307.26586564,-28,11.3333333333,3037.83333333,11.6666666667,749.962253723,16.5,8460,5,8460,5,8460,5
28,Liberate,6,149085,http://nanowrimo.org/participants/Liberate,,,"Dune, The Canterbury Tales, The Rings of Saturn, Homer, Plutarch's Lives, Lucian, Sophocles, Aristophanes, Impro by Keith Johnstone, Martial. I realise how pretentious this list","Dark ambient/techno style music (Actress, Burial, Klara Lewis, patten) because the mood of my nano project is definitely ""wallowing.""","Sitting in coffee shops reading (convenient practise), inventing stories with other people, tai chi and wasting time on the internet (inconvenient practise)","London, UK. Occasionally San Francisco.",Data wrangler,,,37271.25,1242.375,0,0,8,12,16,3,2,4,"[2011, 2012, 2013, 2014, 2011, 2012, 2013, 2014, 2011, 2012, 2013, 2014, 2011, 2012, 2013, 2014]","[2012, 2013, 2012, 2013, 2012, 2013, 2012, 2013]","[2012, 2013, 2014, 2012, 2013, 2014, 2012, 2013, 2014, 2012, 2013, 2014]",8,16.75,1704.23941799,297,15.5,4858,7.75,1067.67269661,15.75,1352,6,1352,6,1352,6
29,liteindigold,4,0,http://nanowrimo.org/participants/liteindigold,27,,,My Starred Spotify list,"reading, video games, podcasts, many things sci-fi",San Francisco,UX,,,,,0,1,0,0,0,0,0,0,[],[],[],,,,,,,,,,7292,6,7292,6,7292,6
30,Lunar Daddy,0.25,0,http://nanowrimo.org/participants/Lunar-Daddy,28,,"Spivak, Derrida, Diaz, Nin, Bechdel, Butler (Octavia), Baldwin, Anzaldua, Morrison, Cesaire, Delany,",House Music,"Propagating house plants, Museums, Mixtapes, Watercoloring, Camping, Roadtrips","Oakland, California",Retired Pizza cook,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,10218,7,10218,7,10218,7
31,MamaHen40,0.166666666667,0,http://nanowrimo.org/participants/MamaHen40,,December 25,"Jane Austen, Terry Pratchett, Charlaine Harris, Diana","So far, none",Reading,San Francisco,Marketing,,,,,1,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,13525,7,13525,7,13525,7
32,MermaidMaddie,2,100305,http://nanowrimo.org/participants/MermaidMaddie,15,March 5,sweet baby jesus don't make me,whatever suits my mood.,"i dunno, man. fangirling? dying? reading? (tv) marathoning?",Atlantis,"Writer, Student",,,50152.5,1671.75,1,0,2,1,2,1,2,2,"[2013, 2014]","[2013, 2014]",[2013],2,28.5,1760.33066502,-482,7.5,7434.5,29.5,1638.60338839,28.5,11555,6,11555,6,11555,6
33,motherless child,0.416666666667,0,http://nanowrimo.org/participants/motherless-child,,April 21,"Night Film, The Mermaid Chair, Birds of Heaven, Reflections on the North Country, Game of","Thunderstorms, Native American flute/drums, Wagner... silence. and sometimes Korn.","Hiking, reading, cooking, writing retreats, gardening",San Francisco Bay Area,"Workshop facilitator and designer, LinkedIn and Social Media Consultant and Stre",,,,,1,1,0,0,0,0,0,0,[],[],[],,,,,,,,,,11575,5,11575,5,11575,5
34,nelle81,3,0,http://nanowrimo.org/participants/nelle81,,,"Jeaniene Frost, Anne Rice, Cassandre Clare, Rachel Caine, Melissa Marr, Nicole",All Types,,San Francisco,e-Discovery Project Manager,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,502,1,502,1,502,1
35,nemodos,4,157089,http://nanowrimo.org/participants/nemodos,,,"Brian Jacques (Redwall), Simon Morden, Philip Pullman, Frank","A mix of Yo-Yo Ma, The Pharcyde, and Riddle of Steel. Or Ratatat radio on Pandora.","Reading, gaming, Kenpo, language acquisition","San Francisco, California",Account Support,Municipal Liaison,http://www.classy.org/nemodos2015,39272.25,1309.075,1,0,3,3,4,2,2,4,"[2011, 2012, 2013, 2014]","[2011, 2013, 2014]","[2011, 2013, 2014]",4,18,2176.36556721,124,15.25,7065.5,19,1715.68049372,16.5,13366,6,13366,6,13366,6
36,nicole1967,1,0,http://nanowrimo.org/participants/nicole1967,,,"Richelle Mead,Stephenie Meyer,Christopher Pike,Veronica",,"Writing,Reading,Listening to music,Singing",Fresno California,,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,5769,2,5769,2,5769,2
37,Rebecca Stern,5,50230,http://nanowrimo.org/participants/Rebecca-Stern,,November 2,"Elena Ferrante, William Styron, Jesmyn Ward, Sherman Alexie, Scott Westerfeld, Chimamanda Ngozi Adichie, Joshua Mohr, Kwame Alexander, Patricia",,,San Francisco,Director of Programs,admin,,25115,837.166666667,0,0,1,2,2,2,1,2,"[2013, 2014]",[2014],"[2013, 2014]",2,13.5,965.96153846,357,13,2108.5,15.5,364.567734634,12.5,2801,5,2801,5,2801,5
38,rienkarrot,3,159366,http://nanowrimo.org/participants/rienkarrot,,,Robert,Techno,,San Francisco,Gov't,,,53122,1770.73333333,1,0,3,0,3,0,3,3,"[2012, 2013, 2014]","[2012, 2013, 2014]",[],3,28.6666666667,1855.20730706,151.333333333,2.33333333333,8902.33333333,29.6666666667,1834.35890465,28,2880,7,2880,7,2880,7
39,s.writes56,1,27125,http://nanowrimo.org/participants/s-writes56,,,"Lydia Peele, Barbara Kingsolver, Alice Munro, Kevin Brockmeier; Lauren",Spotify superior study playlist,"stories (books, TV, movies); hiking; riding my bike; petting my cats who are often laying on me or my desk while I write","Seattle, WA",copyeditor; flash fiction workshop instructor,,,27125,904.166666667,0,0,0,1,1,1,0,1,[2014],[],[2014],1,22,1232.95454545,135,18,2628,9,718.978535352,22,2845,7,2845,7,2845,7
40,schappy,1,0,http://nanowrimo.org/participants/schappy,,,,,,,,,,,,0,0,0,0,0,0,0,0,[],[],[],,,,,,,,,,4455,4,4455,4,4455,4
41,Shaun Parker,1,7197,http://nanowrimo.org/participants/Shaun-Parker,23,,"David Sedaris, Edward Albee, Haruki Murakami, Dave","Sufjan Stevens, Santo and Johnny","Reading, Acting, Playing Music",San Francisco,Actor,,,7197,239.9,0,0,0,0,1,0,0,1,[2014],[],[],1,8,899.625,339,10,1711,1,444.126653529,6,7141,1,7141,1,7141,1
42,sninkychan,11,338564,http://nanowrimo.org/participants/sninkychan,,,"Joan Didion, Philip K. Dick, Michael Chabon, Neil","Dan Deacon, They Might Be Giants, Stereolab, Stereo Total, Kevin Blechdom, Peaches",system administration,"Portland, OR",,,https://www.stayclassy.org/fundraise?fcid=343440,30778.5454545,1025.95151515,1,1,6,3,11,2,5,11,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2008, 2009, 2010, 2011, 2012, 2014]","[2007, 2013, 2014]",11,8.81818181818,766.408916084,20,5.90909090909,3114.81818182,10.3636363636,705.782501936,8,10033,6,10033,6,10033,6
43,SquirrelScribe,2,0,http://nanowrimo.org/participants/SquirrelScribe,,,"Martin Amis (London Fields), Patrick Rothfuss, Neal Stephenson (Baroque Cycle), Judy Blume, and because it's Halloween -- Mark Z. Danielewski's The House of Falling Leaves (WARNING Do not read this book if you are currently doing work on your house and/or live someplace with long","Jazz. Occasionally Kermit Ruffins, Florence and the Machine, and that song by Elle King I can't stop humming","plotting diabolical plot twists, drinking wine/coffee/beer/cocktails, cycling, hiking, traveling, photography","Portland, OR",exec dir of a mobile app startup,,https://www.classy.org/fundraise?fcid=541966,,,1,1,0,0,0,0,0,0,[],[],[],,,,,,,,,,25038,6,25038,6,25038,6
44,UltraCelestial,1,51541,http://nanowrimo.org/participants/UltraCelestial,16,,,Anything,"Photography, playing piano, writing",In my dreams,,,,51541,1718.03333333,0,0,1,0,1,0,1,1,[2014],[2014],[],1,28,1840.75,407,17,6605,30,1242.99507599,28,4000,4,4000,4,4000,4
45,unagicat,5,179748,http://nanowrimo.org/participants/unagicat,,,,"Beethoven delivered via Rhaposdy, enigmatically ...",,San Francisco,IT,,,59916,1997.2,1,1,3,3,3,3,3,3,"[2012, 2013, 2014]","[2012, 2013, 2014]","[2012, 2013, 2014]",3,24,2715.70929487,77,10.6666666667,12806,23,2901.43548167,23.3333333333,11672,5,11672,5,11672,5
46,Uriel238,7,55101,http://nanowrimo.org/participants/Uriel238,,,Most recently I've been working through the Harry Potter series. Currently on Half-Blood,"For novel writing, silence. I may try some Haydn. I usually listen to (and complain about) the local cafe's output.","card and board games (playing and design), popular science, PC gaming, political issues",Haight Ashbury / Hayes Valley,,,,18367,612.233333333,1,0,0,1,3,1,0,2,"[2011, 2012, 2014]",[],[2011],3,8.33333333333,1679.20833333,0,1,5000.33333333,16.3333333333,1543.6688303,5,11200,7,11200,7,11200,7
47,ValkyrieKS,4,187506,http://nanowrimo.org/participants/ValkyrieKS,,,"Lately, ""A Primate's Memoir"" by Robert Sapolsky, ""Book of Lost Things"" by David Connolly, ""Things That Are"" by Amy Leach, ""The Magicians"" Trilogy by Lev Grossman. I also frequently seek the company of Margaret Atwood, Mary Roach, Bill Bryson, Neil Gaiman, Lewis Carroll, Barbara Kingsolver and Oliver Sacks. Please give me something new to read. By which I mean, don't recommend a book. Just hand it to","Instrumental is least distracting, but mellow & mopey can work as well. A deep personal conversation occurring nearby can be very inspirational; ditzy preferred.","Dancing, making foods at home that most people just buy at the grocery story, heights and height-related activities, assorted mockery, cheese","San Francisco, CA. But mostly Neverland.",Persuasion and Comfort,,,46876.5,1562.55,1,1,3,0,4,0,2,4,"[2011, 2012, 2013, 2014]","[2011, 2013, 2014]",[],4,22.25,2019.97816876,645.75,14.5,4054.5,13.75,749.028411105,20.75,9690,7,9690,7,9690,7
48,Vehka,9,366866,http://nanowrimo.org/participants/Vehka,,,"The Secret History, Ursula K. le Guin, Alki Zei, Donna Tartt, Kazuo Ishiguro, Anna Gavalda, Guy Gavriel Kay, Neil","The Decemberists, The National, soundtracks, other cool stuff","writing, reading, urban exploration, cooking, trying new things","Helsinki, Finland",Student,,,40762.8888889,1358.76296296,0,0,6,0,9,0,5,9,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2006, 2007, 2008, 2009, 2010, 2012]",[],9,3.22222222222,730.252777778,29.8888888889,1.66666666667,3396.77777778,4.44444444444,958.917948905,2,1698,1,1698,1,1698,1
49,honeywell,9,353592,http://nanowrimo.org/participants/honeywell,,,"Christopher Moore, Terry Pratchett, Jane Smiley, Bill Bryson. Sacre Bleu, Thud!, Moo, In a Sunburned","Leo Kottke, Iz Kamakawiwo'ole, Ka'au Crater Boys, Nujabes","Drawing, reading, long walks downtown, cooking, ukulele","Berkeley, CA",Healthcare Interpreter,Municipal Liaison,,39288,1309.6,1,0,1,0,9,0,1,9,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",[2012],[],9,9,659.796037296,75.7777777778,5.33333333333,2373.44444444,8.66666666667,507.906064628,7.44444444444,10025,7,10025,7,10025,7
50,Allioup,3,9831,http://nanowrimo.org/participants/Allioup,,,,,"ecstatic dance, contact improv, ukulele,",East Bay,why so many,,,9831,327.7,0,0,0,0,1,0,0,1,[2012],[],[],1,4,2457.75,1714,5,3451,4,627.302708029,2,0,0,0,0,0,0
51,amelia.marshall,3,50281,http://nanowrimo.org/participants/amelia-marshall,,,"Edward Abbey, Michael Connolly, James Ellroy, Barbara Kngsolver,Jane Smiley, A. McCall",Ukulele and Slack Key Guitar,"horses, active galaxies, local history, staggering along trails, youth advocy","Squirrel Hill, Oakland","writer, real estate broker, retired engineer",,,25140.5,838.016666667,0,0,1,1,2,1,1,2,"[2011, 2012]",[2012],[2012],2,9,1478.85294118,0,1,2632,13.5,655.75916411,7.5,2067,1,2067,1,2067,1
